"","SR","X","poligons","x","y","PSV","RPD"
"2",2,11005,131161,-149.875,67.125,0.410544634896713,-0.00812819027684414
"3",3.16227766016838,14956,141246,-148.625,65.375,0.347248530060484,-0.0224739053919228
"4",1.4142135623731,15572,142694,-146.625,65.125,NA,-0.102868143129461
"5",2,15578,142700,-145.125,65.125,0.36263559943938,-0.00885259427684409
"6",1.4142135623731,15820,143383,25.625,65.125,0.0157477692399841,-0.052446597129461
"7",3.60555127546399,16181,144135,-146.375,64.875,0.3583257773123,0.0128561781003227
"8",3.74165738677394,19906,152769,-147.875,63.375,0.367764186621623,-0.122585546811145
"9",2.64575131106459,20537,154213,-146.875,63.125,0.33402126996913,-0.0894825290230239
"11",2.23606797749979,20543,154219,-145.375,63.125,0.32105563926821,-0.0643906166893643
"12",2.23606797749979,21111,155603,-159.375,62.875,0.161142870288812,-0.193699770689364
"13",1.4142135623731,25150,164916,8.875,61.375,0.333977068730363,-0.030797851129461
"14",3,25545,165725,-148.875,61.125,0.373365611798623,0.0314458975059473
"19",1.4142135623731,30373,177302,-134.625,59.125,NA,-0.027601128129461
"20",5.19615242270663,30582,177902,15.375,59.125,0.348748202933885,-0.0972684195600686
"22",1.73205080756888,31483,180100,-155.125,58.625,NA,-0.0600382495680133
"24",1.4142135623731,32053,181627,-133.375,58.375,NA,-0.027601128129461
"30",3.46410161513775,34697,188160,59.875,57.375,0.355127872763869,0.0240129582072299
"31",2.64575131106459,35129,189434,18.375,57.125,0.276944211336461,-0.0779234950230239
"36",8.42614977317636,38679,198054,13.375,55.625,0.359641540789777,-0.0102152640433821
"37",2,38746,198148,36.875,55.625,0.350408833423905,0.00357778172315593
"48",2,42409,206694,13.375,54.125,0.0316341560505555,-0.0394442502768441
"50",1.4142135623731,43057,208077,-0.875,53.875,0.234453474338192,-0.084241346129461
"51",1.4142135623731,43058,208078,-0.625,53.875,0.234453474338192,-0.084241346129461
"52",1.4142135623731,43059,208079,-0.375,53.875,0.0790952093162758,-0.022635682129461
"53",2.82842712474619,43062,208119,9.625,53.875,0.163108986836912,-0.0740776745777488
"68",2,47150,216710,-2.625,52.375,0.350408833423905,0.00357778172315593
"69",2,47151,216711,-2.375,52.375,0.350408833423905,0.00357778172315593
"70",1.4142135623731,47191,216764,10.875,52.375,0.0821696069067088,-0.033683150129461
"72",1.73205080756888,47202,216775,13.625,52.375,0.0597582364646832,-0.0710914355680133
"74",1.4142135623731,47801,217920,-60.125,52.125,0.350121079896581,0.013585120870539
"75",1.4142135623731,47802,217921,-59.875,52.125,0.350121079896581,0.013585120870539
"76",2,47838,218150,-2.625,52.125,0.350408833423905,0.00357778172315593
"77",2,47839,218151,-2.375,52.125,0.350408833423905,0.00357778172315593
"78",1.73205080756888,47861,218184,5.875,52.125,0.255148472779479,-0.0231019965680133
"80",1.4142135623731,48500,219360,-60.125,51.875,0.350121079896581,0.013585120870539
"81",1.4142135623731,48501,219361,-59.875,51.875,0.350121079896581,0.013585120870539
"82",1.4142135623731,48544,219598,-0.625,51.875,0.488282253270401,0.058905003870539
"86",1.4142135623731,48989,220580,-115.125,51.625,0.308274657975899,-0.082212991129461
"88",2.64575131106459,49269,221088,11.875,51.625,0.154937104698527,-0.0909664490230239
"89",2.64575131106459,49270,221089,12.125,51.625,0.154937104698527,-0.0909664490230239
"92",1.4142135623731,49680,222028,-113.125,51.375,NA,-0.100485544129461
"93",1.73205080756888,49947,222527,11.625,51.375,0.0400466167418253,-0.0132936395680133
"94",2.64575131106459,49948,222528,11.875,51.375,0.154937104698527,-0.0909664490230239
"95",2.64575131106459,49949,222529,12.125,51.375,0.154937104698527,-0.0909664490230239
"96",1.4142135623731,49956,222536,13.875,51.375,0.0790952093162758,-0.022635682129461
"98",2,50922,224253,83.125,51.125,0.344198077133826,0.0432632787231559
"103",1.73205080756888,51951,226795,-1.375,50.625,0.0232229120584589,-0.0643188515680133
"104",1.73205080756888,51982,226837,9.125,50.625,0.0210452876155317,0.0583366704319867
"107",1.4142135623731,52027,226882,20.375,50.625,0.179584651907803,0.022982552870539
"108",1.4142135623731,52028,226883,20.625,50.625,0.179584651907803,0.022982552870539
"110",1.4142135623731,52378,227763,-119.375,50.375,0.0598488701212365,-0.092132511129461
"111",2,53344,229762,20.375,50.125,0.348892510872287,0.00402873872315596
"114",1.4142135623731,54623,232629,17.125,49.625,0.445338866091145,0.028268365870539
"115",1.4142135623731,54640,232646,21.375,49.625,0.224866977285265,-0.0677556251294609
"121",2.23606797749979,56589,236936,13.875,48.875,0.346088517512185,-0.0319512936893643
"122",7.28010988928052,57283,238404,20.875,48.625,0.361386112985381,0.033314623598645
"124",1.73205080756888,58498,240976,-56.125,48.125,0.255568687991472,-0.0255145775680133
"125",1.73205080756888,58499,240977,-55.875,48.125,0.255568687991472,-0.0255145775680133
"126",1.4142135623731,58592,241266,16.375,48.125,0.449804040735802,0.085698472870539
"127",2.64575131106459,58613,241287,21.625,48.125,0.0262418035774577,-0.126055472023024
"128",1.73205080756888,59154,242416,-56.125,47.875,0.255568687991472,-0.0255145775680133
"129",1.73205080756888,59155,242417,-55.875,47.875,0.255568687991472,-0.0255145775680133
"131",1.73205080756888,59902,244157,19.125,47.625,0.30583601852801,-0.0186482775680133
"135",1.4142135623731,61495,247924,-119.125,46.875,0.0171172393515455,0.00953445487053906
"136",1.4142135623731,61985,248700,74.875,46.875,0.359572365904476,0.038142650870539
"137",1.4142135623731,62106,249364,-119.125,46.625,0.0171172393515455,0.00953445487053906
"138",1.73205080756888,62352,249866,6.375,46.625,0.057071047311562,-0.0849887055680133
"139",1.4142135623731,62353,249867,6.625,46.625,0.0372774066316544,-0.049788525129461
"144",1.4142135623731,63547,252722,0.375,46.125,0.51458417778144,0.197091668870539
"145",1.73205080756888,63575,252750,7.375,46.125,0.055444019222944,-0.00127951256801329
"147",1.4142135623731,64751,255635,8.625,45.625,0.102826440370063,0.061750007870539
"152",1.73205080756888,67097,261443,20.625,44.625,0.278711653521274,0.0765395944319868
"153",1.73205080756888,67098,261444,20.875,44.625,0.278711653521274,0.0765395944319868
"154",1.73205080756888,67105,261451,22.625,44.625,0.218884239334253,0.0141813044319868
"156",4.24264068711928,68219,264346,26.375,44.125,0.332881515703381,-0.0629645969397057
"157",1.73205080756888,68233,264401,40.125,44.125,0.438568775244492,0.127742770431987
"158",2,68235,264403,40.625,44.125,0.423879627524917,0.111729164723156
"159",3,68723,265758,19.375,43.875,0.363569702643203,0.0746516445059472
"160",3,68724,265759,19.625,43.875,0.363569702643203,0.0746516445059472
"163",1.4142135623731,69217,267139,4.625,43.625,0.224866977285265,-0.0677556251294609
"165",2.23606797749979,69311,267301,45.125,43.625,0.267054362524669,-0.0508038296893643
"167",2,69722,268535,-6.375,43.375,0.152370214454671,-0.0312173442768441
"170",1.4142135623731,70348,270094,23.375,43.125,0.378963992803075,0.0498409928705391
"171",1.73205080756888,70838,271445,1.125,42.875,0.057071047311562,-0.0849887055680133
"172",1.73205080756888,70901,271552,27.875,42.875,0.385883326947531,0.00185831743198672
"173",2.44948974278318,71532,273178,74.375,42.625,0.336241802917171,-0.0160229244489026
"174",1.4142135623731,71927,274430,27.375,42.375,0.193664807563013,0.027661377870539
"177",1.4142135623731,72863,277172,-7.125,41.875,0.412032682056991,0.0727301588705391
"179",1.4142135623731,72867,277176,-6.125,41.875,0.497974580274731,0.087289800870539
"181",1.4142135623731,73403,278622,-4.625,41.625,0.264420333652179,0.044034700870539
"182",1.4142135623731,73927,280051,-7.375,41.375,0.476597115465478,0.130376347870539
"184",1.73205080756888,73937,280061,-4.875,41.375,0.239075352864526,0.0326432734319867
"185",1.73205080756888,73938,280062,-4.625,41.375,0.239075352864526,0.0326432734319867
"186",1.73205080756888,74490,281576,13.875,41.125,0.0430708090981632,-0.159706647568013
"187",2,74588,281700,44.875,41.125,0.392015034565469,0.054082975723156
"190",1.4142135623731,75008,282940,-5.125,40.875,0.304235214989007,0.109626598870539
"191",2.64575131106459,75013,282945,-3.875,40.875,0.327540873611996,-0.0262887740230239
"192",2,75020,282952,-2.125,40.875,0.147857257749817,-0.0356028402768441
"194",1.73205080756888,75534,284096,-76.125,40.625,0.0204477960420061,-0.0670600175680133
"195",1.73205080756888,75535,284097,-75.875,40.625,0.0204477960420061,-0.0670600175680133
"197",1.4142135623731,75554,284377,-5.875,40.625,0.264420333652179,0.044034700870539
"200",2,75685,284579,44.625,40.625,0.407135233752552,0.134065962723156
"202",1.73205080756888,76095,285544,-74.125,40.375,0.293899699075602,0.0370126574319867
"203",2,76100,285810,-7.625,40.375,0.419615889230546,0.110289491723156
"204",1.4142135623731,76107,285817,-5.875,40.375,0.264420333652179,0.044034700870539
"205",3.46410161513775,76112,285822,-4.625,40.375,0.196379347985015,-0.11115641779277
"206",2,76113,285823,-4.375,40.375,0.244052394182523,0.042102015723156
"207",1.73205080756888,76114,285824,-4.125,40.375,0.188007470973332,-0.00192069956801333
"209",2,76647,286983,-74.375,40.125,0.0326772904916467,-0.100927990276844
"211",1.73205080756888,76654,287251,-7.375,40.125,0.188007470973332,-0.00192069956801333
"212",1.73205080756888,76659,287256,-6.125,40.125,0.437431918156607,0.0846562234319866
"213",1.4142135623731,76790,287465,46.125,40.125,0.41083717973584,0.0534200828705391
"214",1.4142135623731,76792,287467,46.625,40.125,0.436047166920779,0.0296436118705391
"215",1.73205080756888,77220,288713,-1.875,39.875,0.210224519345473,-0.0851459635680133
"216",1.4142135623731,77280,288855,33.625,39.875,0.561288400175631,0.269146194870539
"218",1.73205080756888,78264,291565,-8.875,39.375,0.188007470973332,-0.00192069956801333
"220",2,78806,293013,-6.875,39.125,0.142687134553653,-0.031982122276844
