"","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","x","y"
"2",0.474825274483507,0.343774528876174,0.426809884569261,0.431296009478186,0.426773713363602,0.447574097592173,0.385749701959742,0.400056970283788,0.407876090548474,0.499702558744184,0.37447229322637,0.376090832186775,0.358398540966595,0.467081091200326,0.403308558413498,0.397651597834007,0.387670702044102,0.398720047247623,0.557557815655995,0.390470959809334,0.571703333201346,0.409281214279622,0.371819521036225,0.363742753456885,0.404268559351265,0.341464995269053,0.438605532152543,0.421364185505006,0.559328329566451,0.405655301631586,0.388704631593084,0.405355288749053,0.503580049118402,0.415552875712987,0.446206987284064,0.410147262543878,0.40957193294064,0.36005275479132,0.359255797155612,0.346172562205473,0.483423807901648,0.398187602880683,0.505232992336226,0.349588826872334,0.408027561823009,0.40457201402051,0.454129559036589,0.36439692620458,0.352941483602815,0.475021621170902,0.349342117561358,0.438245237018254,0.441266227219345,0.382862308809175,0.581878265612178,0.418562423055909,0.57475499001364,0.302843965861857,0.44221207218989,0.432413682943519,0.366856032996275,0.487081166572931,0.370726538388004,0.383566994486788,0.38433480958569,0.446931093617037,0.392698058827983,0.439513055897527,0.377416259605311,0.355708285770138,0.461425542334854,0.438681663851346,0.461647566205005,0.454698788566558,0.43360919396444,0.326363735669241,0.406787556443848,0.363636081562566,0.474217660269215,0.5340654041709,0.469430058527471,0.479128480039192,0.289478289907239,0.374219806242161,0.58285458005823,0.361886786244204,0.414596760205809,0.587726255894888,0.425594006549158,0.351411251103075,0.334241637862926,0.561992369016328,0.569080787574832,0.357776270809561,0.321714211821188,0.409483655431153,0.316885715566295,0.438678674453313,0.292222944336032,0.269865548103689,-149.875,67.125
"3",0.37459993194891,0.266728372542753,0.36079309553161,0.369167039005998,0.367443138158315,0.353215370194042,0.32571416970905,0.362625240836035,0.352102841065875,0.368427169555831,0.30490549245106,0.356379488649677,0.279630100573072,0.436046372000044,0.320349346202177,0.325882603011894,0.328474424784213,0.348066250675614,0.430954941863326,0.348606250928653,0.350961077180745,0.286712477636604,0.294349083298123,0.322871612960959,0.376038164525716,0.292965479313467,0.297266531915619,0.325295334524207,0.437094261830933,0.388226230764294,0.397394531473416,0.317288481718301,0.486860956889322,0.297565548636723,0.405949999273918,0.383241884905906,0.303444763969084,0.343066431019577,0.276971069189899,0.250464582858043,0.332225224343792,0.373074786337734,0.38691815306982,0.380133272529778,0.313363624580143,0.39290191081523,0.386979114548893,0.290547581639213,0.356711098475006,0.384587212770459,0.271627659731757,0.344319598245089,0.4326413921369,0.268705838621375,0.482215032846192,0.312757152842889,0.345088799860978,0.278743082839796,0.320972838558857,0.316066463553045,0.292966548321768,0.381594640492692,0.30727415621035,0.271579603126949,0.284151099181232,0.410409203063136,0.314171484751025,0.31550871136309,0.33428773612936,0.303721928155875,0.333256773529651,0.347246505230679,0.37750142431972,0.428170238710305,0.383957135086874,0.271429403746937,0.333984349284623,0.298042336002638,0.356218239817555,0.398006409437577,0.434989247170344,0.4506685433621,0.195327386798663,0.312057395895862,0.438372866761343,0.288898005182075,0.298324394256055,0.491935530416602,0.305286475431708,0.377765836245757,0.305672570465405,0.411202841506073,0.421731841789718,0.282003427839644,0.228344121718106,0.340630442181039,0.264743029408449,0.344340026419925,0.256613208585858,0.251696072630623,-148.625,65.375
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.625,65.125
"5",0.426476022981598,0.267661619476511,0.37626895051696,0.392461676758778,0.353621409073214,0.37785335589066,0.312846343380738,0.341185319857961,0.296692985749044,0.393783639125427,0.340221724214311,0.353808002428611,0.274602647135597,0.396021082404701,0.396735459008245,0.309877017419814,0.320369562916832,0.373666871599099,0.448941454175104,0.31611951540171,0.479032350270489,0.354612311204011,0.295714732765444,0.312821103144051,0.380683869693316,0.313673754695611,0.373766525480353,0.278944136872018,0.522668957541437,0.375937116195036,0.358010399806278,0.295243078408143,0.473728524169885,0.335979539850617,0.390730356943611,0.346364046392328,0.368956251543105,0.334222006692937,0.297658688780435,0.270728767258731,0.344382254875751,0.359765659721453,0.465260252707337,0.355690891286717,0.354103580591639,0.358487094104178,0.411906261967087,0.314449267807204,0.344193728597937,0.451210917267401,0.301014540738415,0.296984049140781,0.460468224182589,0.337476561117939,0.504135648712589,0.315353619507454,0.480094247440126,0.304634027998431,0.364771338065627,0.356138927564594,0.243614143347224,0.436168708340755,0.314920140976589,0.325427733387208,0.247305692165256,0.394536201666181,0.318493655758857,0.370448130406597,0.295593545363422,0.264380786523006,0.425558189946422,0.353051402958071,0.424237230484794,0.455931515152603,0.444422498498578,0.271014654919974,0.351764247101752,0.304301395877282,0.409089435808705,0.459218215997068,0.390006012541615,0.444552126876362,0.233845895944148,0.349571719570678,0.52617215199428,0.346956334117892,0.369996707816857,0.568902717550018,0.370935811188956,0.340583096597214,0.290025460222268,0.435348121503093,0.478882168226969,0.29687941423895,0.254434683820819,0.339086122887365,0.290640496539679,0.376198990739492,0.27029369828443,0.234521788465503,-145.125,65.125
"6",0.0333613760523743,0.00773320020194657,0.0267062695138516,0.0248671880827609,0.0105937049071234,0.0107157862044116,0.017477505841299,0.0200176542377521,0.028783821902123,0.0174598604374041,0.0139927560064375,0.0131292678361916,0.00834401748698976,0.0270593446030172,0.033573084367396,0.0305988435313354,0.025719213449424,0.0170438978315071,0.00958963630850196,0.0375517039146502,0.0196445711346702,0.0066139853661098,0.015989410356591,0.0468910598239782,0.00127572491761008,0.0254949792612855,0.0164804563772627,0.0171146664508606,0.0200751360486009,0.0393643261154595,0.0463870871636336,0.0320872444366467,0.0431671469594339,0.0153604826455591,0.0138205150428785,0.0451964760057428,0.0485053449769235,0.0257523892282698,0.0131543541880101,0.0171359763736951,0.0410770446852651,0.0234400555769787,0.042281806823173,0.0113556344345715,0.0301821619764149,0.0532697253703096,0.0436496998927192,0.0298606051458559,0.0215725175207837,0.024179646492521,0.0298715888010319,0.0211885283783131,0.0175377171629014,0.0242147008267248,0.00942039828508223,0.0148777642859135,0.016702420040412,0.0374614114661269,0.0181414710369738,0.01114884907697,0.0122702142409774,0.0339868621314403,0.0265790351236272,0.0173942541943271,0.0121830412653801,0.0171734429372963,0.0312597021559067,0.00937911861451157,0.0310508231391746,0.0181258790705479,0.043534043393703,0.0135410390155926,0.0454202527280312,0.0449460840202252,0.00586535814966749,0.00839477987559523,0.0247702229965525,0.0363633412138673,0.0268910192050025,0.0112781491830145,0.0593295929343323,0.0199674742105402,0.00887783904304884,0.0309871082813427,0.0360926047655532,0.0183123854153642,0.00689990852712552,0.036324784730932,0.0170747796499056,0.0301575284858775,0.0190167025942447,0.0436207045269845,0.0239497953439036,0.0427551128533046,0.0219420961915864,0.0260774132429842,0.012835303501765,0.0152965939129974,0.0257647567373223,0.0163185668686197,25.625,65.125
"7",0.382633209958555,0.283668603638232,0.369082783762862,0.38319894382769,0.376751027551506,0.398592022847107,0.344752637798475,0.342291249748954,0.342595118028852,0.386185254920651,0.358481491272537,0.328390428961955,0.284764239898307,0.383431899198504,0.359470674438969,0.315873375307299,0.321281286100071,0.383811796120976,0.467004520065247,0.329165721908819,0.450237216528451,0.326233317640647,0.275556596557503,0.324906659039775,0.357845185974963,0.305354929559662,0.360798131581002,0.322013883741914,0.49186740451831,0.360996858774832,0.371673662040567,0.310494200734048,0.47964470366216,0.342423992568845,0.380112673388015,0.36278940932242,0.366927871248415,0.325587769248819,0.299748697013023,0.295134464969479,0.357658476155798,0.361134545942791,0.451540556418619,0.378677278001591,0.356601067194611,0.363795049606036,0.394014108311765,0.295211104387967,0.303453211155633,0.400808938193927,0.280119104780435,0.320404698609541,0.447617976381194,0.336997155851746,0.497599500226473,0.318228316056052,0.450431934959639,0.291845025185389,0.334761747294642,0.341895177930173,0.287336127009425,0.430631510188223,0.358942179741802,0.310011870198195,0.269666513941472,0.39243061817544,0.328904964090259,0.362489775590177,0.307078097935637,0.302813306070868,0.411249018658871,0.342795414499314,0.420267943125814,0.450323420393299,0.421106510061744,0.294901951510726,0.345090486758242,0.301479677604183,0.380005832228014,0.416635925059195,0.369547796206947,0.442556812212582,0.250331969897383,0.343948899423253,0.490724534772707,0.3404648049445,0.354808437699181,0.498893059221601,0.353510278681718,0.35590537287516,0.31408171605099,0.438342860243033,0.523981529742661,0.30205506462416,0.238504538948641,0.333740300408251,0.2868601402317,0.374136738772363,0.273471208676066,0.231909968388119,-146.375,64.875
"8",0.382166639008933,0.319523674891989,0.378024272351874,0.383535201497403,0.387400939010451,0.410213337108689,0.360864073203567,0.367252298850892,0.364545910870634,0.423406439324635,0.356089261870721,0.326662776177982,0.320796658808455,0.403868237055935,0.33867704873891,0.336036903170289,0.345224307352505,0.362802507846078,0.478163820674143,0.367855888527598,0.469158475553587,0.3330865534861,0.321674813434038,0.33618441609349,0.365715757742421,0.314267808839126,0.374333936892884,0.364057904248949,0.476524109203203,0.366125906441124,0.377747953886126,0.336603401177268,0.486825113236703,0.373914680336445,0.406807943562103,0.385472510928197,0.367134475717937,0.33405968352781,0.309047193821074,0.287432528225871,0.383921309503147,0.375218151950849,0.433769108981429,0.382747549472045,0.3535911318484,0.381481808322147,0.390450593922489,0.308624644598038,0.329537655615311,0.407462022819416,0.313147324895802,0.405824275264398,0.443635056007725,0.315166428264054,0.513733266039611,0.33629058432529,0.458813263958698,0.292838015297335,0.370029109924406,0.368549291309107,0.335693272759262,0.425238465622363,0.379020737298972,0.324185967367114,0.336326816218322,0.420607900360768,0.341371136536408,0.360660251607319,0.35382041241398,0.352274637241649,0.40469863258968,0.378319664679593,0.417010959121734,0.417307270441336,0.422757862269839,0.317360263225679,0.37101190531152,0.317364385357028,0.392751912405281,0.460804910360357,0.426969952138178,0.461101513783221,0.245651939782624,0.327245786024463,0.514318864083887,0.306428941454638,0.338588943376793,0.504028007282672,0.361395138310596,0.34317922301897,0.292742606533606,0.460046340995126,0.53500844412131,0.302516259445177,0.266053036413372,0.3635226117047,0.287926863864507,0.396151321640132,0.262332662391916,0.256418512801167,-147.875,63.375
"9",0.379156970121364,0.256122774992249,0.356384740931941,0.354952870530627,0.346122425248332,0.354751103584406,0.298709322332576,0.332552636751107,0.309998753486727,0.385376970283648,0.305801947620024,0.317947018669401,0.283254910836045,0.403283563854925,0.330859997731192,0.305840881618858,0.318387876491055,0.329767250415521,0.43291836261526,0.306713177792097,0.430425651195909,0.30415908425418,0.306583587575937,0.287653382794196,0.335049636815582,0.273371200681764,0.342487512559975,0.299110772194819,0.474090733702859,0.354898731075605,0.340423983545517,0.302139892724319,0.445977493210523,0.321839191025293,0.373060933625059,0.347653974582229,0.330359949204151,0.311524548256447,0.276980152962114,0.259270774529533,0.363837013295136,0.332161869215765,0.406529880644309,0.314279132436582,0.323931344095368,0.338549795841335,0.373875105900727,0.2854482541475,0.328150653944895,0.391797374408246,0.271505106309125,0.329797908627579,0.400810757320001,0.287722389336135,0.47160208692913,0.316927402057369,0.436003755976396,0.266388138509499,0.346946961323377,0.334189294840184,0.270638562721215,0.398137636694444,0.298850139345943,0.291755961362011,0.29246145175496,0.380022248841404,0.309864444180079,0.331601853653425,0.308469954534815,0.264512295609667,0.363320892581647,0.358022468572196,0.378081484772464,0.397933661315114,0.374033451548623,0.26747385401518,0.345764758701612,0.282247092765902,0.388709869513034,0.450667828205044,0.407376701496371,0.417256951444516,0.197901899097854,0.299026224417505,0.483841421720169,0.301684146326822,0.30941853675947,0.511730690191291,0.332769261424217,0.312807207022238,0.269464415610954,0.427557352939035,0.425529151623683,0.29168664818825,0.242984130247202,0.32369858005487,0.25450177443263,0.340435302309811,0.233676042456739,0.222646658249525,-146.875,63.125
"11",0.316281649240374,0.275786899221404,0.356493084586247,0.339641750157181,0.350929970194877,0.39128529969018,0.276587997249377,0.315381641382529,0.313598163385839,0.37266138078951,0.304894464155527,0.306818209169205,0.295188244731544,0.315773212145341,0.296972909877947,0.312508794350856,0.294904036406844,0.332386869982752,0.435812099633157,0.306415630341162,0.449720828192957,0.30636570248073,0.292965163905228,0.274575734835957,0.330103723678679,0.283169195617218,0.362948348498871,0.321351763546597,0.42598372447365,0.286834323608576,0.318484863993443,0.355385825902108,0.396014115090906,0.339883825112716,0.301472752739084,0.349063702203955,0.320392880220894,0.256993865773394,0.284402147154922,0.28875653959337,0.353005163331629,0.2720332717037,0.383614945152609,0.302939881621705,0.334673718428226,0.335797920872067,0.320512199555093,0.265877729169408,0.266737178503179,0.348341072388575,0.254104204178508,0.35447652358425,0.348604443470545,0.280580770365629,0.42160769195595,0.31620906372539,0.451599631498131,0.219087417539876,0.35382412632005,0.37999847081609,0.299006056672005,0.347149130530141,0.306757386643088,0.312703238566477,0.278205228688587,0.370494841501382,0.29181229595647,0.346355616682815,0.31182977589701,0.298887773653404,0.397920184121756,0.351604593420186,0.378615506518854,0.392134229090463,0.351605271194382,0.284612617433916,0.309550412409484,0.28985696121986,0.33450111513512,0.402841889272089,0.394867604620281,0.388132323944033,0.221668405091799,0.295029769929429,0.457771034015452,0.284696282847605,0.339917191899487,0.398414402086347,0.318075351296005,0.306980661762645,0.285486935320414,0.45552278445629,0.453072102112908,0.285111418043358,0.247934673716631,0.34356220943186,0.257270250811661,0.355145025974826,0.24529197931604,0.194207696813452,-145.375,63.125
"12",0.158082711037881,0.118764097491233,0.160656063871367,0.168395326180844,0.176593113180078,0.217178007746198,0.0966622356674247,0.190344496776409,0.172300241069274,0.220603785968676,0.115457599613878,0.156883923337623,0.158955234174936,0.184567643868062,0.118218825908924,0.180912218215661,0.152701171991221,0.159347147164514,0.261476116949238,0.16802258243354,0.172696871925652,0.161458614055538,0.174143115763049,0.162944212078918,0.161009945935227,0.162131069005278,0.17510877377072,0.205362015629017,0.263735381305852,0.159565067969704,0.201873115351644,0.207639485879569,0.238282087993039,0.171784003681448,0.167047265867219,0.192997547715713,0.10679308864971,0.141020213839063,0.151598500996795,0.172653307645385,0.226842471500247,0.172554858665131,0.142182194295358,0.148680694639619,0.192241883212089,0.160519287303108,0.178080213880558,0.140987488153285,0.151361480290626,0.129215734367887,0.147417766901169,0.200106509553724,0.181936551434392,0.0892889589983184,0.204527378144014,0.225099683780486,0.213609664267067,0.118455113623245,0.160995468036092,0.194728236660854,0.179109120104432,0.125430801546319,0.125980152939069,0.180807285952423,0.142431918412876,0.189760084409878,0.152199384411483,0.191767719620718,0.163839100971798,0.150011679272984,0.196717751746836,0.197397749052768,0.181969989913838,0.193945330087221,0.162011647684374,0.163595011577613,0.178934876546608,0.136519203827303,0.168493826620116,0.240514030020994,0.249225603459669,0.202556569417797,0.0956581148204586,0.121610327824177,0.141989147646394,0.13349386766585,0.150772713479652,0.206867320784422,0.146895674518082,0.160453817970788,0.160013321315289,0.246600220905328,0.247044516874107,0.152421906907419,0.138254993177383,0.184854884859114,0.087719333873553,0.172402504337876,0.11535676951425,0.116516746471607,-159.375,62.875
