"","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","x","y"
"2",0.075625813482871,-0.0567665843241582,0.00271844715005626,0.0123066340630508,-0.0133538435707649,-0.0348071039508737,-0.0102231370831996,0.0135773924067313,0.00575529303139832,0.0136414488374153,-0.0215593828908419,0.0165178268918633,-0.00331594035691507,0.0430187845940222,0.0234670015714595,0.0226796966409555,-0.015361591671114,-0.0229343306095968,0.0248399078111485,-0.0429870064296646,0.0145305544026916,-0.0107552821223286,-0.0273005268675955,0.00730028957513473,0.0589249216717169,-0.0425929615301636,-0.00222969842324783,0.011560679660857,0.050889165169641,0.0155395096565237,-0.0204297844119571,-0.00607345538455678,0.0264168173771007,-0.0339002437653282,0.0244208830569229,-0.0117609453987976,0.00805995037423946,-0.00959115135439215,-0.021333503756246,0.00598206071887242,-0.0161321677211391,0.0207481679418551,0.0260877368720496,-0.0535594222760355,0.00508330839441534,-0.0111803739914117,0.0411242384651157,0.00152356067121218,0.00684987337833964,0.0693220699421963,0.0125865248470227,-0.00306996281766136,-0.00795033182151283,0.0180826494247371,0.0469128425749807,0.0148880177881776,0.0449714604121515,0.00768995678992374,-0.00903062144579292,-0.0181365190039603,-0.0353357314429294,-0.0163748496696784,-0.0201573821215885,0.0118147123320072,-0.0333409994979641,-0.0254497846491608,-0.00526713122455441,0.0132613821057443,-0.031624241721392,-0.0268627736724205,0.00551343570689705,0.0197790995570208,-0.0144037498614821,0.00361017239526623,0.0217201007451071,-0.056062829753771,0.014775681258841,0.000598555203131568,0.0382076370785485,0.0150480736302975,-0.00221128914080704,0.0102637935573086,0.0275212867625012,0.0295000123528198,0.0193697939149277,0.0215529829031846,0.0321396547903495,0.049074703383764,-0.0108781192181882,-0.0119996445346643,0.0106851480141972,-0.00940813085987879,0.00334882567296413,-0.00187676275533266,-0.0156596959583781,0.00255374122788932,-0.0189251146827616,0.00821359599731236,-0.0366601013840858,-0.0235983143455027,-149.875,67.125
"3",0.0183213066938743,-0.0423857896094283,-0.00634454529666606,-0.0245228684292709,-0.00104584206377178,-0.0357399698039961,-0.053458528212263,0.00532760971599894,0.0316332366125557,-0.0292341336575325,-0.0360649827955795,-0.00096410181290707,-0.00630770276920944,0.0120396663697238,-0.0349460461920259,-0.0237975770257753,-0.0547327812663495,-0.0495167569218272,-0.0118340822746346,-0.0306001988352388,-0.0227175131541351,-0.0692092780294666,-0.0469902351184739,-0.00385624059807377,0.0904364524238292,-0.0511369203121792,0.00274870960449691,-0.0275343265570656,-0.0207617303082425,-0.0468549855891068,-0.00130413729252865,-0.0530633870305903,0.0335299485487813,-0.0132449376680115,-0.0185204654004366,-0.0118112098904355,-0.0459372317332976,-0.00445463920623707,-0.0614410980574904,-0.088495344782377,-0.062751275668766,0.0291939355038328,-0.0221273607641203,-0.0089456672553212,-0.0742091577505526,0.0136811912749247,-0.0100512486806901,-0.0448589998833421,-0.0226316318192153,0.0181051844347335,-0.0355666108517104,0.0354873401208,-0.00441703644242153,-0.0291816972094441,0.0607822683924678,-0.0626326748950792,-0.0647247070597605,-0.0232630123435023,-0.0355722878544171,-0.0268037845498738,-0.0568417167090285,-0.0904757348656656,-0.0203963965558445,-0.060484447745939,-0.0276271279291379,-0.00754019058680655,-0.00941235588937384,-0.0219795161336667,0.00470842608934696,0.0134509858984101,-0.0529454856814448,-0.0238710605628522,-0.0382508356212302,-0.00734042077961328,-0.00335150596048417,-0.0161715620106985,-0.0101855816132445,-0.0320020421123742,-0.00833706136260565,-0.0302658618157141,-0.00437254890549499,0.0195949455953984,-0.0364760982585206,0.0316336568302467,-0.0132577056988823,-0.0757912690561867,-0.0227863753481363,-0.0355709394431658,-0.0511413222706651,-0.0268774133862827,-0.0256634996015844,-0.024108283928578,-0.0561966624768516,-0.0299272411087437,-0.0753882561829606,0.000831769099996049,-0.0501600227544646,-0.0168722550434455,-0.0461655301439636,0.0255621793636364,-148.625,65.375
"4",-0.0949881217598863,-0.145568792519919,-0.127091184717886,-0.102754761245769,-0.14354270519859,-0.115435739295432,-0.130104726878342,-0.0985776874064507,-0.134295953114008,-0.138001707453614,-0.114860190166323,-0.0675436749382454,-0.121757477151938,-0.131939509171217,-0.102200815428512,-0.0755410356671714,-0.110766336729022,-0.139040441688886,-0.118572980675843,-0.124110510835532,-0.135492326228605,-0.142061294484999,-0.176193146302824,-0.116613856348837,-0.0787970207757938,-0.078480717761216,-0.184847414085182,-0.106618396659189,-0.133095350525273,-0.125252622178347,-0.131787903516476,-0.0876373386331656,-0.0956825769209749,-0.157934566490761,-0.115842879624757,-0.138501288264669,-0.115882995903545,-0.0871814443135086,-0.129433690986223,-0.0954530171605138,-0.107214523141587,-0.107318760003955,-0.0745269759516258,-0.113399384582555,-0.108034506611876,-0.126054931356152,-0.0936467805952664,-0.109314244858819,-0.130633691498474,-0.109220645372066,-0.155356082356088,-0.165481839859778,-0.114072046840869,-0.120778590580596,-0.119481641638829,-0.100227560048325,-0.106529242703743,-0.103862250523577,-0.166555170577017,-0.144392473433233,-0.100883465334256,-0.138344059425068,-0.123491016782771,-0.0945341126963393,-0.162539339007081,-0.108101252819083,-0.130428438707481,-0.118125020078245,-0.163421501805909,-0.134610473895119,-0.10750922854625,-0.129410575464504,-0.123858796293575,-0.105637695827969,-0.0960264987523095,-0.171671774931917,-0.120951932136967,-0.139388744276217,-0.140732765726827,-0.119505748416146,-0.159961780519217,-0.107936390964258,-0.0864420610356852,-0.121994830336999,-0.140303567801714,-0.127771299619312,-0.14746590167323,-0.103384613118901,-0.145429612062195,-0.118093721894496,-0.0979589585382992,-0.112889310282835,-0.083865784912669,-0.122915016927566,-0.11387142495175,-0.115860780219833,-0.144268132342226,-0.135442103943082,-0.126291091536593,-0.137469244302696,-146.625,65.125
"5",0.063654455682871,-0.0349672236241582,0.0154003813500562,0.0125676425630508,-0.031180147370765,-0.0479003549508736,-0.0166755514231996,0.00907086020673137,0.000457516231398336,0.00146432183741535,-0.0223433896108419,0.0344900174318633,-0.0128776227569151,0.0208006597940222,0.0491169829714595,0.00562608594095543,-0.025846105271114,-0.0162346744095967,-0.0234928600888515,-0.0476727199596646,0.0166144472026917,-0.00510673592232863,-0.00926345936759554,-0.0114243517248653,0.0725109917717169,-0.0191595832301636,0.000550329676752226,-0.023385247739143,0.0591928268896411,-0.00579719294347625,-0.0108535841119571,-0.0197918038845568,0.00535152395710065,-0.0357453873553282,0.0229425254069228,-0.0333255308987976,0.00355847337423942,-0.00105355715439215,-0.028834484556246,-0.00742499908112759,-0.013184451221139,0.0329659936418552,0.0307297677720497,-0.0200255932760355,-0.00468151168958481,-0.0210287706914117,0.0219227308651158,0.0251216566712121,0.0297988902783396,0.0668387469421962,0.0116765420270226,0.00704419258233868,0.0218688510784872,0.0122532321247371,0.0162412450749807,-0.0104184943118224,0.0433263256121515,0.0311535113899237,0.0122529990542071,-0.00874322320396032,-0.0549565957329294,-0.0254595821696785,-0.0073006671115885,0.0318041941320072,-0.0212744668479641,-0.0121221221491608,-0.00143152642455441,0.00141519233074422,-0.037827943221392,-0.00406001420242053,0.015735023206897,0.0160889632570208,-0.0162078730614821,0.0157299624952662,0.0415169891451072,-0.047448258453771,0.0231744668588411,-0.0253800189968685,0.0304727801785484,0.0319601597302975,-0.00166797474080699,0.00661562155730855,0.0241290288825012,0.0239670464528198,0.0216462579149277,0.0243209439031846,0.0305967930903495,0.0654465985837639,-0.0228587290081881,-0.00831872758466423,0.00136484796419722,-0.0208515237998788,0.00141448107296416,-0.0124245503553327,-0.0049193557583781,-0.00479926557211069,-0.0144070741827614,0.00449460633731236,-0.00878202229408576,-0.00898604710550271,-145.125,65.125
"6",-0.0297227855098864,-0.00511778703991878,-0.0613424279878866,-0.0803556172357687,-0.07432353522859,-0.0891432936954323,0.00891514022165754,-0.0443685387064507,0.036858771665992,-0.0725458240536135,-0.0601673080163229,-0.0477496160382454,-0.0253238766219377,-0.0334392632712167,-0.050224587828512,-0.0378353058671713,-0.0561142433990218,-0.0654044249888863,-0.0529473070758427,-0.0625720184355316,-0.0820993182286049,-0.0878934243549992,-0.0520851924028239,-0.0506788574688372,-0.0486638144757939,-0.059610311561216,-0.0489341714851823,0.00469008380081123,-0.0414565418852731,-0.0451680143783468,-0.0392408295164756,-0.0399213129331656,-0.0496742011759749,-0.0801115945907612,-0.032607463224757,-0.0781646132646685,-0.0579772180035452,-0.0533222204335086,-0.0514446505162234,-0.0290269537605138,-0.049171551063587,-0.0507460514039548,-0.0602258039416258,-0.0588812908325548,-0.0681162483318764,-0.0652811037561518,-0.0628662089952664,-0.0448208024488188,-0.0355216762984735,-0.0735108811720659,-0.0588437153360883,0.0242513209402218,-0.0694583858443694,-0.0468978087805955,-0.0265546749288293,-0.0630557818483255,-0.0595627779037433,-0.0466953328235775,-0.0413899203270175,-0.0552275688332328,-0.00294753854425631,-0.0337890118250682,0.0232709223172287,-0.0756481486963393,0.0204572516929189,-0.0367219962190833,-0.0404040895074814,-0.0629155361782445,-0.0790098295059092,0.0198450696548805,-0.0670002317162501,-0.0197945139645038,-0.076833508491375,-0.0600319250979688,-0.0527183018223096,-0.0756820411319173,-0.0419027788369667,-0.0667755090762168,-0.0114309217968266,-0.0520260192161459,-0.116227020619217,-0.0254867819642583,0.0099846585943148,-0.075268651536999,-0.0557308314017137,-0.0716707651193121,-0.0727917372732298,-0.0284513578189014,-0.0627002030321945,-0.0799442355944958,-0.0709847489382992,-0.0674372931728346,-0.059853343912669,-0.042930337177566,-0.0528929759517501,-0.0762743148998333,-0.0648970061422256,-0.0944674541530817,-0.085122677636593,-0.0687609603726962,25.625,65.125
"7",0.0178225846256478,-0.0453521383001756,0.0367842900927051,0.0152198483849184,0.0810565746177752,0.0183530624042852,-0.0533632938690437,0.0496568059931788,0.0515864771851788,-0.0203501658940727,0.0441000159994495,-0.00640189614440712,-0.0355618732993718,0.0442359877702765,0.0348372965598095,-0.00131973003903985,-0.035139102967377,0.0556133049751184,0.0413706630449597,-0.0546108812501666,0.0813839145779276,-0.0465392496656691,-0.0460958006108793,0.0258982877558072,0.0761354407396571,-0.0194435388479818,0.0671342367763893,-0.0457737064063897,0.0711847877437423,-0.0448014295869837,0.00867087579280967,-0.040385912204955,0.0604054156576886,0.0318535622246573,0.048873458600458,0.0206581114308195,0.0417247351786952,-0.0117988311323174,-0.015031224416804,0.0232063147330008,0.0299224733191771,0.0814519217485854,0.0453120471728675,0.0249605587564403,-0.00428726065300855,-0.0243595718824076,0.010616158338752,0.0102053146233915,-0.0592195016873011,0.0374667336380554,-0.0126154609061865,-0.0268518884571266,0.0575867707847244,0.0650166588723692,0.0565798567510948,-0.00508813505102812,0.0696133841513055,0.0357710628294553,0.0102956838155601,-0.0175248564744525,-0.0708677361544766,-0.0161470984608814,0.00427472665660178,0.0580089877331849,-0.0244497575036958,-0.0130134703662466,0.0690054000978959,0.035789333204115,0.00808622968698336,-0.0398880371454745,0.0666254965901153,-0.0107635823413892,-0.00305883498941673,0.0444104373465566,0.0819620114646107,0.0374195162653721,0.0701958598530399,-0.0219343793911843,0.0422211332392801,0.00992155424393515,0.0249330707955387,0.00546217359097922,-0.00615447647873724,0.0534619715297637,0.00101143645454127,0.072251418785708,0.0619445659625248,0.0224167690580509,-0.0387367442971838,0.0187535844332989,0.036745322076133,0.0143456906247749,0.0792029135710217,-0.00292729050200202,-0.0518433572322458,-0.00038097080802757,-0.0198996683104534,0.0232038036067572,-0.00757037337727884,-0.00745098700794922,-146.375,64.875
"8",-0.094415568580361,-0.186777062387419,-0.148022091208958,-0.129965184063129,-0.173979261380008,-0.128145379092267,-0.17443960098612,-0.102236855400333,-0.154338785309947,-0.130705495296188,-0.131510334246678,-0.130256062131381,-0.133319924681534,-0.15699181044341,-0.15174874534633,-0.143751685945139,-0.141458988104624,-0.176753776115699,-0.117999051850185,-0.155392869014789,-0.0989848827971078,-0.198825404891884,-0.184053402437508,-0.105792726491592,-0.0451885865559531,-0.154059813098172,-0.124054766793272,-0.148398876913277,-0.109473257910867,-0.170534107750198,-0.15696570478366,-0.143725211877378,-0.0778938856150656,-0.138024712277764,-0.121141547505523,-0.139186146650372,-0.126380115843212,-0.131331170414216,-0.170609050398563,-0.140443055966984,-0.159920293971414,-0.0988382212574116,-0.14737778605126,-0.145006801852124,-0.172142287612903,-0.117479733288481,-0.148904671585441,-0.160898098276538,-0.157566665975091,-0.0889289939584578,-0.133198285414235,-0.121321265250593,-0.111400575322225,-0.165550835854499,-0.0820045231498641,-0.160381189591289,-0.124931311073656,-0.105554276283397,-0.15802245948308,-0.157033507774401,-0.174002129221259,-0.199169936973929,-0.109130817623719,-0.13512010805051,-0.13868370323083,-0.130013235395559,-0.154820997299707,-0.154328694825232,-0.134578739549757,-0.148639091679294,-0.138647915959581,-0.139354885956175,-0.151641234045642,-0.16035479282158,-0.0584792863113737,-0.135545236373413,-0.096114793703601,-0.146532763349571,-0.0871567839832306,-0.0957154012952034,-0.125417639349866,-0.10565603598395,-0.144012184998937,-0.117290081396394,-0.131911053708466,-0.178692553326032,-0.155182674091116,-0.136482953999195,-0.178084326802452,-0.164151753945454,-0.140062099970906,-0.145979757482694,-0.160217161939997,-0.146136974237161,-0.174024571158163,-0.104449797822192,-0.169753898878529,-0.11751686049011,-0.205282050480411,-0.136542256403421,-147.875,63.375
"9",-0.038434973609697,-0.161957506859133,-0.0744914885569454,-0.073649421216559,-0.128266802976769,-0.122990644842888,-0.117890410376969,-0.0706434653812162,-0.0957037026759582,-0.0887046296639327,-0.105219181661899,-0.0630461704489273,-0.072651970295469,-0.0729474134512879,-0.077524062198136,-0.083262229234266,-0.105637079372182,-0.135382536713815,-0.0867751634389802,-0.145371878398643,-0.0839197293648015,-0.129210580236132,-0.116812168760417,-0.116766972061905,-0.0254021404340534,-0.124491949491499,-0.105005802680982,-0.0934410958206258,-0.0517228397796227,-0.0976529564195964,-0.119736966248286,-0.100086125929305,-0.0587353651877909,-0.128199683068596,-0.0951345172018783,-0.120013649991344,-0.088859317799465,-0.0819526157041666,-0.132106961613306,-0.0963475593089213,-0.114149694090529,-0.0916237296088734,-0.0745615932861963,-0.14457782031428,-0.0956415940170605,-0.10749482695847,-0.0663236173785397,-0.104482718187456,-0.0874988377082294,-0.0409309537404228,-0.112398570382215,-0.0990865081961183,-0.0933920281429672,-0.100921860503093,-0.0689705440404944,-0.0978530072539185,-0.0573250497390224,-0.0735117530626961,-0.11137134606416,-0.124878788477036,-0.135294530633768,-0.133874362432637,-0.0876193230098092,-0.0857477599955121,-0.119079843260841,-0.107312474017084,-0.106877225814606,-0.0945894925765119,-0.132410263486069,-0.115504056977712,-0.099112575564013,-0.0731578152956105,-0.115605808586341,-0.0855660740533953,-0.0667804503431891,-0.143662669540243,-0.070346569268504,-0.123732362376886,-0.0559246103455803,-0.0438235495870098,-0.0842699234489969,-0.0833005656502263,-0.0788960288920714,-0.0735418597205709,-0.0926943145363318,-0.0828650311023879,-0.102123104039755,-0.0477580942535867,-0.119688509170777,-0.125651580873252,-0.0815286384700685,-0.0970152722965031,-0.102076316545951,-0.0799891861908833,-0.11555765646912,-0.0908918587608636,-0.12730592362342,-0.110877630760807,-0.145802300665825,-0.116298601819652,-146.875,63.125
"11",-0.048763122634924,-0.0829911732507695,-0.0539357978343468,-0.0453154528158101,-0.0648378804123025,-0.049616137293607,-0.0899361954844925,-0.0671053610868337,-0.0880664149994834,-0.0643237686653605,-0.0768118857420416,-0.0476639361791804,-0.035479973120332,-0.113556456997987,-0.053539592760625,-0.0622599359644731,-0.0950853605784475,-0.0807224124934104,-0.0460317383606169,-0.0937008764291561,-0.0528941112077609,-0.092533849319158,-0.108911821644466,-0.0687634740171842,-0.00311971294624963,-0.0848161032459285,-0.0436170912460082,-0.0630624960757527,-0.0625916480839774,-0.0919752595050611,-0.0858600962250569,-0.0138843108787248,-0.0406309964495736,-0.0783733023310011,-0.119465749095844,-0.0599958544730518,-0.0675279708820966,-0.10027195043367,-0.0891754712954443,-0.0371745731366465,-0.0696834166452993,-0.0973261345534203,-0.0157588254668787,-0.0948430320435329,-0.0538367445410581,-0.0443825466926976,-0.0758718374745399,-0.0846994844564433,-0.0967322465341758,-0.0268905789991851,-0.0816506112136816,-0.0819283373024156,-0.0887912589317378,-0.0486624692240106,-0.0589976468346056,-0.0705779913294972,-0.0293834549940817,-0.0807183997520277,-0.0767823485395365,-0.051090466900777,-0.0768388189593909,-0.117988914256404,-0.0620723726920496,-0.0418286899523388,-0.11869539085908,-0.0806674778439521,-0.0811899843331482,-0.0452097032705679,-0.0717625280646946,-0.059606411481956,-0.0154755406213906,-0.0531194607893701,-0.060959639102387,-0.0149078315582651,-0.0686027934545506,-0.0841428749602509,-0.0795186221128799,-0.0567905333740358,-0.0873321995071443,-0.0736314481499021,-0.0636442873260606,-0.0555856634653829,-0.0330019689699041,-0.0366234860306773,-0.0596067289528014,-0.0564935099240153,-0.0174161732001905,-0.0838269231051526,-0.0978563169702286,-0.0431891506566227,-0.0262811488818319,-0.0511376939614547,-0.0576235374602467,-0.0633863597749092,-0.0811646534305488,-0.0377974418240428,-0.0932149634455815,-0.0625352992212032,-0.0701648870042963,-0.102777909166904,-145.375,63.125
"12",-0.192772517294924,-0.25825032457077,-0.237751083434347,-0.18481254960581,-0.248047025312303,-0.184933285843607,-0.229229071914493,-0.162060161286834,-0.228050645389483,-0.219610147065361,-0.201210037472042,-0.15350165920918,-0.188802337350332,-0.240293399697987,-0.217081302960625,-0.156442091964473,-0.198988789698448,-0.23757542179341,-0.178198374660617,-0.206239628829156,-0.251993003027761,-0.232558915559158,-0.263452507744466,-0.183799325417184,-0.16578310518625,-0.176915511345929,-0.275554477746008,-0.154182784825753,-0.224901935283977,-0.210963164905061,-0.200668563545057,-0.147839242578725,-0.156799463789574,-0.251256229821001,-0.230396155395844,-0.238782685473052,-0.215421857962097,-0.17637549093367,-0.222659299165444,-0.149829274636647,-0.207859160945299,-0.20067467475342,-0.144142384426879,-0.215885954413533,-0.176888363891058,-0.204547623752698,-0.18067906217454,-0.215439410056443,-0.229367303234176,-0.229037206099185,-0.217456906413682,-0.251660110502416,-0.196382615521738,-0.225095357114011,-0.200631434804606,-0.150511724529497,-0.195615813894082,-0.185922927252028,-0.287553136199536,-0.230062974600777,-0.185685970779391,-0.253286163466404,-0.21524087489205,-0.174304981452339,-0.29328121785908,-0.213029658643952,-0.223147301033148,-0.190090444415568,-0.249081101044695,-0.212308737081956,-0.185824367921391,-0.21095048638937,-0.217403577862387,-0.164082302358265,-0.215317261364551,-0.240168285760251,-0.22018240691288,-0.233194372774036,-0.237376722137144,-0.206010317849902,-0.247179396926061,-0.188600759965383,-0.178588145919904,-0.213464710630677,-0.263650841352801,-0.220511910754015,-0.24395389033019,-0.194806539545153,-0.234958903920229,-0.207604143256623,-0.154133400801832,-0.206991517561455,-0.186102958660247,-0.202509703674909,-0.203595222880549,-0.191850022224043,-0.255797217245582,-0.234238646301203,-0.246320277914296,-0.213335304946904,-159.375,62.875
