"","SR","X","poligons","x","y","PSV","RPD"
"1",2,5818,112443,-149.375,70.375,0.00738423687563361,-0.0565934410882171
"2",1.4142135623731,8630,124636,18.875,68.375,0.362697804206285,0.0177144187798926
"3",1.4142135623731,8631,124637,19.125,68.375,0.362697804206285,0.0177144187798926
"4",1.4142135623731,9118,126136,33.875,68.125,0.362697804206285,0.0177144187798926
"5",1.4142135623731,9119,126137,34.125,68.125,0.362697804206285,0.0177144187798926
"6",1.4142135623731,9650,127576,33.875,67.875,0.362697804206285,0.0177144187798926
"7",1.4142135623731,9651,127577,34.125,67.875,0.362697804206285,0.0177144187798926
"8",3.74165738677394,11005,131161,-149.875,67.125,0.260099324878557,0.0474090753106388
"9",4.79583152331272,14956,141246,-148.625,65.375,0.310630148340831,0.159613392301157
"10",4.47213595499958,15572,142694,-146.625,65.125,0.306478492734572,0.177270400340771
"11",3.87298334620742,15578,142700,-145.125,65.125,0.294540963164652,0.0534228033066269
"12",3.60555127546399,16181,144135,-146.375,64.875,0.291043398919868,0.175399075835497
"13",5.8309518948453,19906,152769,-147.875,63.375,0.287064707107708,0.11612140320107
"14",5.65685424949238,20537,154213,-146.875,63.125,0.278982604165769,0.0586660145397586
"15",3.60555127546399,20541,154217,-145.875,63.125,0.262359794364099,-0.00953800716450304
"16",2,20543,154219,-145.375,63.125,0.255974339135015,0.0961168675117829
"17",3.87298334620742,21111,155603,-159.375,62.875,0.282163437170708,-0.0181842396933729
"18",1.73205080756888,25150,164916,8.875,61.375,0.246347427858854,-0.0265450342577658
"19",3.60555127546399,25545,165725,-148.875,61.125,0.275818009247811,0.0916527548354971
"20",2.23606797749979,25547,165727,-148.375,61.125,0.293225847933202,0.0231490445889422
"21",1.4142135623731,25556,165738,-145.625,61.125,0.0888859001818032,0.0609029217798925
"23",1.73205080756888,27485,170127,-128.375,60.375,0.202520513592439,0.0198819123422341
"24",1.73205080756888,28023,171486,-148.625,60.125,0.0888859001818032,0.0135388627422341
"25",1.4142135623731,29200,174359,-150.375,59.625,0.0888859001818032,0.0609029217798925
"26",1.73205080756888,30373,177302,-134.625,59.125,0.39302496358825,0.00336402274223419
"27",1.73205080756888,30582,177902,15.375,59.125,0.0880790775024902,0.0413442207422342
"28",1.4142135623731,30980,178782,-124.625,58.875,0.295310207745608,0.0629673063798926
"29",2.23606797749979,31483,180100,-155.125,58.625,0.0175906329546726,-0.0838185520110578
"30",1.4142135623731,31551,180235,-121.375,58.625,0.295310207745608,0.0629673063798926
"31",1.73205080756888,32053,181627,-133.375,58.375,NA,-0.0340258512577658
"32",2,33181,184524,-129.125,57.875,0.223167310719787,-0.093788168488217
"33",1.4142135623731,33213,184556,-121.125,57.875,0.300434176347245,-0.0414394676201074
"34",2.23606797749979,33743,185963,-129.375,57.625,0.285120398514641,0.0385048955889422
"35",2,34315,187401,-129.875,57.375,0.299113674304973,0.0413817175117829
"36",1.4142135623731,34316,187402,-129.625,57.375,0.295310207745608,0.0629673063798926
"37",2.23606797749979,37849,196079,-120.375,55.875,0.262328308955033,0.00656877058894229
"39",1.73205080756888,38425,197492,-127.125,55.625,0.305438769244298,0.0225793353422342
"40",1.4142135623731,38448,197515,-121.375,55.625,0.292386709636074,-0.0461184416201074
"41",7.34846922834953,38679,198054,13.375,55.625,0.256330179030216,0.0378387161983629
"42",1.73205080756888,38680,198055,13.625,55.625,0.129308918712039,-0.156609133257766
"43",1.73205080756888,39050,198956,-121.125,55.375,0.324226825584514,0.0499357319422342
"45",1.4142135623731,39630,200374,-126.625,55.125,0.300434176347245,-0.0414394676201074
"46",2.23606797749979,39652,200396,-121.125,55.125,0.284977783521341,0.00680370158894222
"48",1.4142135623731,40263,201836,-121.125,54.875,0.297997094221655,0.0657940183798925
"52",1.4142135623731,41551,204761,-109.875,54.375,0.29789696486237,-0.0429320366201074
"57",2.64575131106459,43062,208119,9.625,53.875,0.245426479503911,-0.0915144025104318
"58",1.73205080756888,44161,210496,-116.125,53.375,0.320241145114256,0.0461464353422342
"60",1.73205080756888,44830,211926,-118.625,53.125,0.320241145114256,0.0461464353422342
"62",1.4142135623731,45522,213370,-117.625,52.875,0.397977651838212,0.0541754117798925
"63",1.73205080756888,45523,213371,-117.375,52.875,0.331240678643688,0.0562508263422342
"64",1.4142135623731,45524,213372,-117.125,52.875,0.295310207745608,0.0629673063798926
"65",1.4142135623731,46536,215357,19.125,52.625,0.171365268679588,-0.119956940220107
"67",2,46893,216239,-120.375,52.375,0.273343988742196,0.0279442935117829
"69",1.4142135623731,46918,216264,-114.125,52.375,0.300434176347245,-0.0414394676201074
"70",1.73205080756888,47596,217698,-115.625,52.125,0.324581664732387,0.0500433983422341
"71",2,47801,217920,-60.125,52.125,0.346069374182844,0.146531978911783
"72",2,47802,217921,-59.875,52.125,0.346069374182844,0.146531978911783
"74",2,48294,219143,-114.375,51.875,0.269922459741024,0.0245030365117829
"75",2,48500,219360,-60.125,51.875,0.346069374182844,0.146531978911783
"76",2,48501,219361,-59.875,51.875,0.346069374182844,0.146531978911783
"77",1.4142135623731,48989,220580,-115.125,51.625,0.292386709636074,-0.0461184416201074
"78",1.4142135623731,48990,220581,-114.875,51.625,0.382714840265082,0.0440710207798926
"79",2,49672,222020,-115.125,51.375,0.286267908929023,0.0231301715117829
"81",2,49680,222028,-113.125,51.375,0.176353451542859,0.00385294751178289
