,x,y,Temperature,Temperature_seasonality,rainseasonality,Precipitation,Humanpopdens,Human_footprint,PET,Ec.Het,EVI,Host_richness,Degree_of_generalism
1,-1.375,42.125,0.651691054,-0.243976676,-0.805721511,-0.569799113,-0.139027722,0.603102168,0.345200398,1.212553289,-0.362590396,-0.46347073,-0.252374092
2,-104.625,33.625,0.898781335,0.287447647,1.056794702,-0.925494848,-0.16397418,-0.323869725,1.631892934,-1.104088099,-1.098404148,0.054122997,1.309583772
3,-105.125,35.875,0.142975769,0.093787192,1.347638074,-0.753915637,-0.162935543,-0.15839699,0.770661185,-0.684380628,-0.845686526,0.115016377,-0.525926233
4,-105.375,35.875,-0.072864858,-0.025043894,0.835865601,-0.607107733,-0.156149331,-0.360020668,0.419239766,-0.6397444,-0.353871435,0.137851394,0.264118692
5,-106.375,35.375,0.476547649,0.341572402,0.36044855,-0.92731478,-0.149662646,0.193395407,1.021879474,-0.420159544,-1.147123232,0.183521429,-0.414565774
6,-106.625,33.875,0.707649735,0.254415497,1.193826675,-1.010121718,-0.164280462,-0.538912026,1.492955715,-0.735997878,-1.299658957,0.198744774,0.114028543
7,-106.625,35.625,0.271608063,0.249547973,0.20384058,-0.806390363,-0.158337882,-0.392010758,0.835628854,-0.477911631,-0.886912789,0.153074739,-0.047622817
8,-107.875,34.875,0.145155978,0.217979608,0.964507862,-0.922158304,-0.164269439,-0.395543555,0.857228782,-0.849175044,-1.113024503,0.084569687,0.588002483
9,-107.875,35.125,0.188760145,0.28861162,0.877814165,-0.960680213,-0.125883924,-0.134455082,0.879351626,-0.777249368,-1.054727286,0.076958015,0.221598804
10,-109.875,54.375,-0.739281881,1.448951842,1.017642709,-0.716809232,-0.162020713,-0.824870779,-0.575286052,-1.002757515,-0.282610998,-0.075275434,0.076707004
11,-113.125,51.375,-0.508179795,1.07097799,0.718409624,-0.822264221,-0.160557604,0.061009179,-0.257678115,-0.870964292,-0.421249886,-0.021993727,1.571035552
12,-113.375,49.625,-0.30106,0.513311361,0.338075983,-0.744007115,-0.150943952,-0.02580188,-0.173004764,-0.589396428,-0.322503355,0.008452963,1.121707202
13,-114.125,52.375,-0.617190213,0.89675236,1.08196384,-0.649876152,-0.10812702,0.622072586,-0.42917288,-1.091606879,-0.310522781,-0.0296054,0.736443763
14,-114.375,51.875,-0.599748546,0.782682984,0.905779874,-0.650280581,-0.159784768,-0.156812249,-0.432118938,-0.795019241,-0.000769379,0.016064635,0.713009973
15,-114.875,50.875,-0.927506536,0.406296368,-0.442167295,-0.451200166,-0.164309378,-0.685550485,-0.705380985,0.066819588,-0.558928489,0.016064635,2.14756393
16,-114.875,51.625,-0.734921464,0.622054678,0.371634834,-0.575461126,-0.163610288,-0.504139649,-0.537219541,-0.034510996,-0.05218584,0.016064635,1.641661668
17,-115.125,51.375,-0.868640911,0.493347457,-0.126154785,-0.510752408,-0.164263948,-0.663449498,-0.681200461,0.262076642,-0.353202517,-0.006770382,1.098530925
18,-115.125,51.625,-0.810502021,0.559341211,0.206637151,-0.543612304,-0.164312591,-0.716049923,-0.60326538,0.238595025,-0.203677899,0.016064635,0.538391674
19,-115.625,52.125,-0.881722161,0.509219819,0.458328531,-0.500843885,-0.16432167,-0.848174997,-0.647604013,0.501335286,-0.23321993,-0.044828745,1.790320802
20,-116.125,53.375,-0.663701325,0.730163101,1.129505545,-0.519649857,-0.164084159,-0.937653653,-0.446556372,-0.585588598,-0.150587823,-0.120945469,1.514470277
21,-117.125,50.875,-0.999453412,0.179374496,-0.724620955,0.011467168,-0.164262012,-0.885949924,-0.898444786,0.097705319,-1.098194679,-0.113333797,-0.076758545
22,-117.125,52.875,-1.029249593,0.348803145,0.284941136,-0.491137578,-0.164218611,-0.952773386,-0.873203535,1.122857741,-0.669423814,-0.128557142,2.14756393
23,-117.375,52.875,-1.105556886,0.312402527,0.075198319,-0.479308015,-0.164245915,-0.885008875,-0.932419408,1.067644208,-1.069509588,-0.143780487,1.311092914
24,-117.625,52.875,-1.045964524,0.323795356,-0.075816509,-0.498113986,-0.164310928,-0.948958724,-0.928495604,0.957005595,-1.167631044,-0.151392159,1.362098334
25,-118.625,36.625,-0.333763126,-0.332421006,1.33365522,-0.314806321,-0.164208116,-0.751601543,-0.164570508,1.335884668,-0.594641467,-0.014382055,0.624184697
26,-118.625,53.125,-1.059045774,0.220483914,-0.828094078,-0.34139756,-0.164317119,-0.947184274,-0.971549427,0.444852477,-1.387697546,-0.181838849,1.894612799
