"","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","PSV","x","y"
"2",0.906255483241389,0.722555820128292,0.840351663259752,0.903232171796649,0.905313326650065,0.932931384053412,0.81459813934632,0.813846955242465,0.739689240220015,0.866462886707466,0.818597378670475,0.753122918704461,0.891942867484891,0.881866722742421,0.806434553711814,0.822200198922749,0.790201811507737,0.939352839280215,0.950383217739804,0.832365712852857,0.800769818625886,0.898457595371512,0.810330325268138,0.85849095380753,0.810593303924554,0.797838988644815,0.917853700732971,0.794317526546727,0.910715108203629,0.861252603091291,0.91263614821575,0.839831582356272,0.936612297526202,0.853118546968827,0.857688666617555,0.899192406056804,0.837996293216792,0.822719240458856,0.792265194424249,0.864718076272701,0.835785406429296,0.878771724914364,0.860856460158105,0.853441582854106,0.952195766381038,0.948070925804272,0.881704390832006,0.840317707947708,0.877273517696591,0.845639907459636,0.813368975633392,0.738466276229921,0.858910223860903,0.718827457792753,0.843324715763996,0.859987447403243,0.842759325042018,0.693613681574877,0.853120685594955,0.935507318259147,0.802306849348965,0.770728879058031,0.815186035865374,0.819682286918579,0.723381869898584,0.899413614290149,0.852160559302143,0.902846285685483,0.832997741458013,0.759213815524578,0.816301284659893,0.889470590670627,0.913507084254328,0.870221136568903,0.908014768046417,0.8021107470661,0.761696589708645,0.938118203998483,0.884300332143131,0.889587999469209,0.9058851836458,0.931876163647149,0.672370266888477,0.769976615383375,0.813628636612446,0.836390100477817,0.909177027698003,0.911708482836754,0.836262649081417,0.824960013383535,0.809314382550639,0.883775200821414,0.768285483311831,0.757776402502963,0.786541491870025,0.882512637190818,0.741092318051523,0.866780516355593,0.713527839517336,0.653835563652572,-149.875,67.125
"3",0.658108326806402,0.510501222141058,0.627488538035753,0.753939720413045,0.72617594504637,0.694519033733694,0.636007916842835,0.65045767438179,0.607095505612855,0.662479347250959,0.717090235191052,0.661019704261234,0.636058181724814,0.728785224323897,0.6733484777461,0.623468268310773,0.647506783172625,0.691278578030185,0.705071581391225,0.671451938374571,0.573295398485184,0.681319938864504,0.573888699460808,0.665219032118651,0.686373427910313,0.608640317984295,0.641752424399436,0.585188099775001,0.696109191084261,0.737685546346111,0.750731681034266,0.642049505418686,0.799097476397273,0.605964606354373,0.694598495467637,0.725966936174055,0.673469312593461,0.711260340766198,0.583876827563198,0.641974145633517,0.612366951998052,0.734160365961108,0.711212066783684,0.637198877531226,0.721223759747742,0.736269889791715,0.744567356668325,0.587357804101613,0.738855104578635,0.718390915455941,0.594276800343505,0.541978941827227,0.749655672094547,0.598500023392397,0.687794605256242,0.660415192599654,0.614965871702157,0.523257806245624,0.619111206900245,0.679271925585386,0.572051673634995,0.64662353981253,0.654742773158323,0.612528538532251,0.489693621139488,0.712967851308195,0.617704150021892,0.653997039839688,0.656040136955788,0.544021141803068,0.68266512097565,0.699300514218728,0.724941921540486,0.751907462441137,0.720151080542629,0.588785080087636,0.557930033387775,0.746419484001048,0.630611917911354,0.677577659710232,0.711921198292782,0.747645708047662,0.466032472133575,0.648655196348746,0.709816214949439,0.635244684789327,0.657405538349646,0.809513845816859,0.66611611125421,0.720408336169135,0.666259830114384,0.671168293708853,0.673718603680676,0.563916533994846,0.538396803302272,0.640674068246318,0.532059531209324,0.614530800320275,0.535581777922099,0.461505165292987,-148.625,65.375
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-146.625,65.125
"5",0.754360134975736,0.501277987544191,0.641156300019656,0.756537855652338,0.731837752441692,0.735066298094024,0.657047723556639,0.642092893727789,0.540812496870702,0.656477976906506,0.746398825158009,0.640328353606312,0.663114238433581,0.684751309844692,0.730137456225507,0.611274159622958,0.637609530412503,0.744202871479737,0.762015929349463,0.66000012033238,0.706821136172691,0.666364560856122,0.583979342276588,0.669421402867199,0.65144691843514,0.616483874636548,0.729661832290549,0.487817048033698,0.720737861101851,0.731474979467513,0.734193614905677,0.63086152797423,0.83706467656156,0.672315615055899,0.701837367501682,0.681021076347627,0.759772776785831,0.685011752154414,0.647735564714903,0.644808508726255,0.616893209409184,0.729707170049305,0.775955299822553,0.657730283506395,0.749495440191235,0.757422984724982,0.739409839738835,0.620624897503214,0.723010716195247,0.76663495883099,0.608547274738528,0.469927031239773,0.846519409005146,0.647223364064069,0.771718477594558,0.626740946509289,0.749916729163755,0.542943600531593,0.645457590468379,0.735641145607117,0.500700352221929,0.716359047582805,0.651289102075528,0.615552426264753,0.47415727166725,0.73206420360783,0.639856438933718,0.681896705277831,0.622879300184872,0.479608245109916,0.734283694903043,0.660198942776193,0.789005482614477,0.804674520873772,0.775456212190025,0.623633118167292,0.542913337067219,0.767204507807289,0.716676928203045,0.703785062870782,0.693357530886007,0.733808799721463,0.480339478234968,0.694677268299534,0.753923742813548,0.701223242632741,0.710554588201416,0.876892608772023,0.744550029471462,0.681903891574298,0.662705828327606,0.676405937486541,0.686896300762511,0.601361718626496,0.603889247279865,0.690536014910308,0.580687799549568,0.645787077266908,0.539508955816782,0.487974121440288,-145.125,65.125
"6",0.056124472626164,0.0761492429294155,0.219569820284604,0.0862105730037852,0.206943910176712,0.0701022068722208,0.0831222826836397,0.18075013828075,0.0807251096822905,0.045328550895726,0.0499128202129346,0.0766131216497068,0.178533278267064,0.225882272595911,0.0579320233702267,0.0758088759561506,0.200489891402085,0.0487576327669137,0.0523150096968257,0.08330424494323,0.0800091721779488,0.0477321568309184,0.149587903992362,0.110522922433506,0.0439941750727306,0.0935655915472395,0.183607347678131,0.0705331850087147,0.0571316875282393,0.0870181647810653,0.238570757806637,0.0963698471527477,0.0960802531482112,0.0959167584927207,0.0981654393147653,0.102337973862728,0.147185866732951,0.0562727138113774,0.0647016625029622,0.116893660039837,0.0507356212418468,0.240619692834966,0.0591190236015939,0.0762502800965121,0.237680098063385,0.090301204933668,0.194704330624534,0.109245845478701,0.171053912305057,0.0566446318179965,0.178276666758985,0.187067787512314,0.240600230146531,0.076260377229348,0.208796907947784,0.18228782630791,0.0876321430179317,0.19703150119825,0.0376220876838897,0.201363126723614,0.0687408486849641,0.0565334993928659,0.0814123476966946,0.102089122661941,0.172007777956966,0.0526865430556698,0.178822084722782,0.0476627574197193,0.0685124850914272,0.102277079072571,0.0852567949183427,0.0525951691045363,0.11024200625913,0.108911949583543,0.047993527212099,0.186800768171879,0.174251591213876,0.0922503050088919,0.201213423149822,0.0700048913307005,0.0902547843352086,0.0636367234945174,0.0393576287028352,0.231970183535651,0.232052205387423,0.068442672141241,0.0483306271574448,0.08408762031262,0.0464265114539197,0.206766264261149,0.216372030227089,0.0730126889928382,0.130285280795047,0.154898033552281,0.0617760385033979,0.103065097043351,0.0552620823625305,0.187152055484034,0.0680444138343153,0.0604748222745926,25.625,65.125
"7",0.722643858057926,0.569437384603226,0.661885603613437,0.759014474859486,0.722698126533363,0.724553917512424,0.71898635462253,0.633792332278967,0.628301441043723,0.672202621824577,0.749053833754474,0.658719709164976,0.678474191142143,0.694005551593799,0.710910896931853,0.625456237627639,0.635218810336037,0.745188759293473,0.744936616319554,0.666612395889956,0.670315127382483,0.663739360700182,0.57942789695832,0.704428688455956,0.674277165143414,0.634948979009121,0.70857589642241,0.585257754172007,0.738315247675678,0.738437810818099,0.742353016242115,0.643290768927008,0.821305561466609,0.631037597482165,0.708188850502871,0.682046186753386,0.744917479661569,0.674844861334514,0.634560755505655,0.691053685650438,0.606756543170094,0.742813199970041,0.753157231474349,0.673398690045438,0.761520807563365,0.769371080930567,0.709025518256459,0.611600144256239,0.691957551282687,0.767284072200934,0.601785748771297,0.577925601465472,0.792464622938274,0.634554078495897,0.729957786987926,0.628190337837227,0.69077595870247,0.574268460901997,0.605067021472283,0.717441009820264,0.595479181786245,0.694516338026612,0.73734777030914,0.612573460321869,0.535381711063491,0.741150146392361,0.625434784079697,0.693596695840926,0.618544765322262,0.596076896786796,0.727039572669601,0.674397014118269,0.778660987536587,0.778869998989578,0.740484316923005,0.614980774569481,0.550014346371111,0.762449064166645,0.695705238536646,0.688673188744477,0.657503197436356,0.751892348249852,0.56165699940146,0.700032280152188,0.756174060171922,0.683674955369905,0.701613770093588,0.809733633361389,0.724434607441649,0.694719058520412,0.675102580890408,0.667357838546275,0.714619553694486,0.59209375966933,0.559878145538631,0.70355057571264,0.584040831003501,0.639644582806363,0.544549292702791,0.486356567607713,-146.375,64.875
"8",0.749743823368587,0.627019720326647,0.712559711342109,0.787847172376857,0.770946371503123,0.77847033189058,0.747516772992571,0.70176116856816,0.670513093382934,0.759102542916341,0.771865791214,0.696476044744246,0.752919614856186,0.76568541125802,0.732650901528194,0.696432177611049,0.68995355137805,0.796511581505007,0.78774539775724,0.723707873563542,0.70173353682475,0.735158685908245,0.677616016339326,0.750850226487839,0.725115954759881,0.688108764029755,0.75120351140564,0.699630431519522,0.776411136669756,0.755453081951451,0.800129127553712,0.714835288325093,0.834372631305333,0.698149634320187,0.7458254334498,0.771556617971606,0.758539263018489,0.747612273176977,0.685488809953536,0.752366578312232,0.687908425502661,0.781558902967307,0.770700975271134,0.72438694397042,0.81048923170686,0.814029641047122,0.767038672952536,0.673393151824175,0.761097152063248,0.766524170269611,0.664339812732797,0.662980825822021,0.808241930239984,0.645560782647517,0.745856611431514,0.705602761588175,0.717206614242583,0.601133759627655,0.700896021022016,0.76856826554172,0.699171287475128,0.686754820582764,0.766887347486039,0.681742635728749,0.62329050680396,0.775580945331488,0.698426878723616,0.762487271253651,0.695192461545118,0.665013969059293,0.73634794008908,0.760660196762499,0.803746517627453,0.797381032732754,0.777857653549905,0.680644755545468,0.627921047236339,0.787791830721903,0.739821343646633,0.757614660877284,0.751702491412864,0.800739426216666,0.591118540451425,0.718899703187301,0.758993593653664,0.71413890962532,0.756646976742913,0.834209526190955,0.764675438342417,0.739522862377811,0.710117858354096,0.720599271141049,0.751017696026319,0.62986516829129,0.63362177483524,0.752577935171156,0.638621231203062,0.724815807027247,0.610502838685202,0.549752464203962,-147.875,63.375
"9",0.724471005802308,0.534819587872484,0.670210948613091,0.751403443289022,0.750298942293901,0.747472412522626,0.644614019181934,0.669687841372227,0.569413890743681,0.682615982180167,0.720087241125688,0.626359701795931,0.691955988766611,0.722014570481088,0.696659497548471,0.665470726438193,0.647630051631643,0.754566954750365,0.767068333485343,0.681538068160756,0.658290725166774,0.707778947241858,0.633932460534136,0.690449762287874,0.67067407687061,0.644966475974674,0.726739985053091,0.585339378332364,0.726488647519726,0.727842480532955,0.755047705334993,0.660812483612967,0.800384347598072,0.663121878923539,0.713727035910841,0.732775276152187,0.728476426296571,0.683076515844825,0.629798638534006,0.679493014517547,0.663547969121676,0.7346212961849,0.735378377468452,0.681183758726617,0.760350682602245,0.779237627830203,0.743916601711938,0.658324073620297,0.742051976069162,0.733871795860434,0.641679497867009,0.535868858029858,0.774532198600743,0.623196679294769,0.715296182716752,0.68374090801169,0.700849464067898,0.555016677685431,0.6745352486962,0.741279676006717,0.594472508588377,0.673414917166451,0.651168981329122,0.650383989178113,0.537696764802711,0.743249962316924,0.673508370323561,0.703362406909939,0.660616188951588,0.553402072906139,0.708486504197035,0.715609537323884,0.768404077071767,0.76420625412609,0.751614193020246,0.637849503751177,0.59409674217479,0.770925908029697,0.706684360609147,0.719946046540724,0.736675750847718,0.768212995409208,0.485649230394657,0.664887743491621,0.718654115622106,0.683787703139409,0.720149286808251,0.80046408812328,0.706954945721038,0.697426596933416,0.669018459768092,0.703906017195295,0.659129735598576,0.608436128852231,0.607819969584342,0.699566858268948,0.581524481347115,0.669446314044382,0.563272448776958,0.511729841029005,-146.875,63.125
"11",0.55910540657212,0.590163329062973,0.667419977083788,0.682405039542986,0.689317644039224,0.725552763289141,0.620498535370805,0.631021341121365,0.624569156696114,0.713169438219331,0.694152395393831,0.631767083234497,0.715547889521233,0.699092810739387,0.574197799023979,0.601697505758996,0.644142409092772,0.736883094015332,0.757240714398617,0.664285278138469,0.532471964540101,0.700348101363561,0.754055882359457,0.652082072121346,0.634687689944127,0.62120962932133,0.548138331510385,0.671920880094787,0.709029806617791,0.681018270242851,0.730418494476697,0.670119769778491,0.721609593356731,0.675955507589323,0.673020274194467,0.698114871288463,0.702262011997294,0.688311444611657,0.660532638856542,0.715552524781322,0.642402521947054,0.677995803752692,0.578665162997148,0.628869874119938,0.765626048453952,0.763012027414154,0.653254055367176,0.653194913570049,0.646151506529861,0.57677815549489,0.640201636969794,0.822177784241234,0.734591598936712,0.501077704418809,0.58179055175341,0.686968262065771,0.596178684530213,0.552490385623326,0.661689425916654,0.743971819751072,0.674407879882661,0.553126934975733,0.616981820839443,0.631733144368906,0.715161024505283,0.699059232283876,0.673797479975686,0.711595280723551,0.647125836078382,0.799204135888666,0.586024200755713,0.699743260215242,0.674140087458069,0.631948456210355,0.689969006639396,0.64523764661616,0.58955232827624,0.73850930897055,0.707078044435814,0.687381897366434,0.682786200305029,0.740710806369908,0.596267667162706,0.589490138922786,0.568434954604959,0.62378679331045,0.72401541283306,0.627187018236741,0.736973745474556,0.600785653166529,0.617885825591916,0.678692292124359,0.5100952202599,0.59507530504514,0.631781097085347,0.703930310085659,0.614657647970501,0.695836124129717,0.559691480476874,0.514462336789423,-145.375,63.125
"12",0.483013073068615,0.406687326705687,0.472119344760709,0.452960417968487,0.492288092271913,0.492593800519353,0.333810785427375,0.453256519709755,0.44216145606208,0.498363534079266,0.251016054115423,0.42017301977602,0.49339861501732,0.497902331408169,0.332173172730056,0.461317820141463,0.4252397045851,0.507041830016376,0.522078103287548,0.474526842654347,0.188550889959527,0.482799745011477,0.633175891370207,0.503194174937203,0.44958348605035,0.433100058162413,0.462906933904817,0.503757607433319,0.484290789221156,0.505072859878307,0.529688799107686,0.47533832379658,0.461283402155241,0.46365566731163,0.487214003266802,0.503479468641831,0.240778571849399,0.433332726038564,0.439478767209434,0.514441879965325,0.46297240961016,0.468332636027568,0.26320788397426,0.475562590769496,0.527329233681921,0.546772979826016,0.465225990217917,0.516420284495383,0.462549313387136,0.31224530796096,0.454941983907862,0.7387060573269,0.264612357606953,0.237935901202149,0.312894102270181,0.52192596694477,0.274610414408768,0.370671482411768,0.449750953407797,0.507324494237078,0.509942429050773,0.24245177731245,0.337622281322148,0.444498894052319,0.609088238464498,0.49500640423112,0.477483608018194,0.485112284042368,0.460566517612103,0.736918936029639,0.289516899859281,0.50628144082327,0.397565484260013,0.293478762748522,0.453224353620488,0.437634216860791,0.448703426656513,0.52676609495973,0.470081506355332,0.489910159233,0.487152683214831,0.545812302452442,0.405282881046972,0.295564509983297,0.254501676313895,0.394073563878779,0.500392517009534,0.34105045954839,0.234504718631985,0.441420556891969,0.438251465913591,0.462322764072897,0.231621444585142,0.413840764478525,0.426473784041351,0.480301602116913,0.406167035004556,0.495439517064031,0.393364491819706,0.364451985430059,-159.375,62.875
