"","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","x","y"
"2",0.014781617844139,0.0099628232677765,0.0121562743094094,0.0123170904521736,0.0138455794724577,0.0144894931589944,0.00624581544853567,0.0124325435056542,0.00839502589911216,0.013963710951369,0.00794194789814708,0.00966632080043486,0.0144582088306099,0.0116259174499052,0.00992776470382229,0.0131194597289313,0.0116799623303529,0.0149307299081257,0.0148847188550207,0.0125336676239508,0.00903246298603716,0.0144356311103449,0.0161870259410011,0.0117734817460709,0.0110500275469945,0.0107142221099946,0.0167458636247153,0.00992392724834797,0.013417856428405,0.0112186524917035,0.0128715946028822,0.0125177210653233,0.0131003981989483,0.0146146991151775,0.0122599906831933,0.0142554798027904,0.008543037782798,0.0115431797349632,0.014040403620376,0.011187806829969,0.0144820074622702,0.0116792621484909,0.0094782906976061,0.0130014650245088,0.0150045436671857,0.0142693386991086,0.0129356401194872,0.0127874309195233,0.0140070578011061,0.00942213360219279,0.0145549900343751,0.00858872270354859,0.00829853525395478,0.00649369169724805,0.0102654074767959,0.0137399742516569,0.0118292535270377,0.0106662555481754,0.0158150333272621,0.0150208365327985,0.00885191283487087,0.00752481253782349,0.00575980991381526,0.0141951127123375,0.010959718699937,0.0123003183791004,0.0146428223675497,0.0144875132344805,0.0134948108428003,0.00872906079451533,0.00836603043596369,0.012651503296939,0.0113768726536589,0.00842837441800908,0.0141777628416322,0.0153832494544368,0.0136549507580998,0.0138382312255571,0.0148603382037247,0.0138991623597834,0.01817478705927,0.0120491352275899,0.00963808566167099,0.00716891983941895,0.00739030572690739,0.0139339958369544,0.0147795782972817,0.0112952761607311,0.00950473440314267,0.0112451692941778,0.0123892808078802,0.0142917720875594,0.00724198873731098,0.0138391618821401,0.0144004873992267,0.013085849122538,0.0132627584982874,0.0136924076793345,0.0136701439979154,0.0124752570520381,-149.875,67.125
"3",-0.00255000173002221,-0.00499844047410065,-0.00242313153344711,0.00299597560483246,0.00201344303712619,-0.000207181116819756,0.000862313566293932,-0.00152383893664022,0.0023236023837346,-0.00093750864824426,0.0021289177042055,-0.000137736348164941,-0.000214387529556215,0.000639115125549657,-0.00103044794273775,-0.00188387572621954,0.000304529282025096,0.00213600083183841,0.000963884306209778,-0.000721361193786262,0.000571231279136331,-0.000982465111049435,-0.00588531767413492,-0.00210847973820381,0.00203177423300379,-0.00181935237360691,-0.00179288951393976,-0.000935978820905042,-0.000376554076824367,0.00244942040511027,0.00339414235230474,0.00187026252664128,0.00131150825881707,-0.00204657055111342,8.43758974408138e-05,0.00197149837347101,-0.00210338154637225,0.0012354784880191,-0.00174335191318396,-0.00137780796417208,-0.000536786045527309,-0.00310646142855804,0.00332012593927734,-0.00165284794152528,0.00244262724371624,-0.000915122149023083,0.00229986136432114,-0.00419923711294001,-0.000409367537332533,0.00110839950704715,-0.00132730298710064,-0.00145906787579532,-0.00359345080831999,-0.00283388576400682,0.00155445717614515,-0.000991540117154042,0.00162407550642766,-0.0014251508453532,-0.00185960111315096,-0.000478381180945835,-0.0026220096086096,-0.00241445479539324,0.0049614177828917,-0.00275757898193127,-0.00423026525702263,-0.00322481478975201,-0.00179552315289665,0.00136930561282188,0.000130624536698744,-0.00449061925023189,0.000757599984205548,0.00385351199829755,0.00131050175695117,0.00279133714118968,0.00161885464595746,-0.00220457200004268,-0.00253844397456972,0.00167661820980734,-0.00411162206994387,-0.000562035463276808,0.00170445587602917,0.00214297928628975,-0.00202809049191981,0.00139281915951427,0.00108250416998733,-0.000783027354063409,-0.00222428805832215,0.001444223645998,-0.000499722675800243,0.00145775983270677,0.00177000177343607,0.00342072254133612,0.00295891066663368,-0.0039453005211634,-0.00611359398716391,-0.0022069124671732,-0.00310604899482324,-0.00283396453629351,-0.000878091059256271,-0.00370222529419639,-148.625,65.375
"4",-0.0066241674958633,-0.00653534582897618,-0.00655625104870973,-0.00600261832914803,-0.00640853436867224,-0.00626547349909282,-0.00585070666140503,-0.00647174183816188,-0.00577984210713411,-0.0064574012753727,-0.00619139185974816,-0.00593811339766126,-0.0071103078338879,-0.00677093719043699,-0.00645064986223113,-0.00633588239861721,-0.0061767233050578,-0.00622019852950718,-0.00669208108834878,-0.00645351187361897,-0.0073067492293187,-0.00667796477913766,-0.00701750576850416,-0.00614038211779228,-0.00562162757628351,-0.00568243121435359,-0.00655229316104247,-0.00616078689029641,-0.00647961092577547,-0.00669370323496304,-0.00607551171583484,-0.00596145315137955,-0.00644436386268092,-0.00684312218772446,-0.00598850970751225,-0.00681430568659505,-0.00640509233788197,-0.00613087488441215,-0.00694161436299257,-0.00616695831954832,-0.00646934278961987,-0.00648564732176432,-0.00631351205629136,-0.00664604118221282,-0.00664748386029302,-0.00683591446092448,-0.00655405162943607,-0.00600778183416091,-0.00699844337068195,-0.0066650184429778,-0.00709564367797217,-0.00592980103365946,-0.00648803091515983,-0.00714221030860543,-0.00663018769427366,-0.00654822408563723,-0.00733334364827786,-0.00651399254713124,-0.00659815289616126,-0.00705031777447677,-0.00659272896239126,-0.00602982091235509,-0.00616370187174593,-0.00679477669218885,-0.00622449794388787,-0.00634197765384153,-0.00709319729840828,-0.00651552590930963,-0.00598275104298262,-0.00618512032870081,-0.00686389261479871,-0.00608821864810706,-0.00703460363941524,-0.00647530355911865,-0.00638741850352772,-0.00742409358102752,-0.00690526612333176,-0.00656335896150228,-0.00661353913983355,-0.00681394467877189,-0.00766528651491749,-0.00605304109860196,-0.00581487779890699,-0.0057456524799453,-0.00664424259136013,-0.00604436068134056,-0.00639440294160378,-0.00694278781335695,-0.00682865128132569,-0.00707678569045944,-0.0060833909931775,-0.00614896409796898,-0.00699494598901307,-0.00737331615888893,-0.00668441285513231,-0.00662909140430513,-0.00698147559936679,-0.00719412472787455,-0.00714539310981818,-0.00666392900252405,-146.625,65.125
"5",0.00591700025613898,-0.000241177416023499,0.00244867159775936,0.00364288208957364,0.00453190260695767,0.00465659845795443,0.00183830830078566,0.00340800108375421,0.00014866068251217,0.00348759836016905,0.00481917559586708,0.00286910583663487,0.00327419505620992,0.00204086960438217,0.00557043479092229,0.00280827609365129,0.00307051881055292,0.00517737135752571,0.00517635417128474,0.00363771123185077,0.00792407160343716,0.00314880376126487,0.00345806137607105,0.00260015070627091,0.00315016890974449,0.00193480776219459,0.00595347495921531,-0.000929047115652035,0.00408772711929499,0.00346028029990353,0.00355869706118218,0.0027818124785233,0.00577575457525634,0.00606017762201754,0.00356246993889333,0.00345032076689044,0.005308105391598,0.00304007146606323,0.00469966737217599,0.00225528239656899,0.00373458986308017,0.00263857088069085,0.0064325621443061,0.00345743935390884,0.00428942644878571,0.00429925631600857,0.00439754945848723,0.00388155429747326,0.00480364351840614,0.00545256262229279,0.00390892246927507,-0.00165654133845141,0.00773983921505478,0.00347383091584805,0.00726997844729586,0.00293565738529694,0.00936214208123775,0.00201865054736541,0.00459302386896211,0.00481341831499853,-0.00188446562054913,0.00486462490544349,0.00149949144747526,0.00351742726743753,0.000116305670636998,0.00378906077558042,0.00366104160012971,0.00351442964998049,0.00313487525120026,-0.00133874305548467,0.00473826852566369,0.00250507701903899,0.00531947044085895,0.00604925399440908,0.0059047291685322,0.00402030354153684,0.00214163906329981,0.00459149684035706,0.00497739226832467,0.00434854330528345,0.00592577232387,0.00283625774642292,0.000622500670270986,0.00420793690681894,0.00467214393560739,0.00579716329975443,0.0047603940811817,0.00869111934903107,0.00616301247421267,0.00284648392237785,0.0038681745683802,0.00392137056337937,0.00427964006481098,0.00388502016954012,0.00496167305632671,0.00345479500923798,0.00329386533948743,0.00401993344363455,0.00293245041421543,0.00238378910233814,-145.125,65.125
"6",-0.00596120490676329,-0.00550118203089619,-0.00398835531030974,-0.00508890759703803,-0.00408244114567224,-0.00547495207679882,-0.00494387126423503,-0.00435023640774788,-0.00484486894810811,-0.0059031089085347,-0.00563302457179816,-0.00509155834252126,-0.0049030632690609,-0.00424698820993698,-0.00576851026731113,-0.00540995445524721,-0.0037191201450778,-0.00566658476309718,-0.00610955890508878,-0.00546522710101997,-0.0061751634191787,-0.00609481961499765,-0.00479251945405416,-0.00494582941834428,-0.00513856320838351,-0.00461666223281359,-0.00421458646323247,-0.0052926866389164,-0.00584647695306547,-0.00575857908224304,-0.00349687259263484,-0.00481172359193955,-0.00543897912900093,-0.00559449028736446,-0.00491794838104125,-0.00560236955203506,-0.00472802939615197,-0.00549172484914215,-0.00607161341097226,-0.00489457988594832,-0.00581148245469288,-0.00388054034728432,-0.00562723050672135,-0.00574205999606282,-0.00393404270392302,-0.00584387849000448,-0.00438401114407607,-0.00469893777043091,-0.00495002753952195,-0.0060236574615778,-0.00474245385807218,-0.00353289915364946,-0.00386924110464983,-0.00616300545556243,-0.00429269845324366,-0.00433415048781723,-0.00611786905668786,-0.00394729165515124,-0.00610187261886126,-0.00467676429070677,-0.00578541870627126,-0.00539328621500309,-0.00524750883619593,-0.00546030265759885,-0.00375874798334788,-0.00578891251874153,-0.00474029800809828,-0.00592299085270964,-0.00515013703149262,-0.00492096032488581,-0.00588163827699871,-0.00549389460800705,-0.00581728738311624,-0.00531800618987865,-0.00586241348652772,-0.00477973686780752,-0.00437228201423177,-0.00556730846364228,-0.00418682035199355,-0.00599936464930189,-0.00642529315921749,-0.00540075938936596,-0.00526287781433699,-0.0031372681453053,-0.00403952683438013,-0.00518954593587056,-0.00582362332899379,-0.00602897435478695,-0.00623705888756369,-0.00470639118475945,-0.0035496619011075,-0.00526509538005098,-0.00542606696541307,-0.00518117928962894,-0.00581404793218231,-0.00542080647813513,-0.00619518898546679,-0.00480197617024455,-0.00611441581021818,-0.00574151403465404,25.625,65.125
"7",-0.00221557925490558,-0.00675082921961317,-0.00232845892250448,0.00123681920740501,0.00247952617885611,0.00278323083964802,0.00374443061056128,-0.00586870452921606,0.000861970793594652,-0.00221189111501244,0.0024480251380234,-0.000125144097290475,-0.000127567220241806,-0.00400371705239685,0.00405062780653356,-0.00223758059598274,-0.00213740950021513,0.00275762770692291,0.00212425979078819,0.0012122845897668,0.000210051316265697,-0.0051415999364931,-0.00218880373722249,0.00285134293978871,0.00133947114673666,-0.00072617607029532,-0.000583692234997393,-0.00211585748201427,0.0022483730315635,0.00564546754678387,0.00357422742739437,0.00305040680878736,0.00824708337177396,-0.0053016644598895,0.00465088895128182,-0.00353013143394536,-0.000529394234599301,-0.00276695587061318,-0.00434335324946722,0.00134026156963836,-0.00358759241995527,-0.00113613728119641,0.00223148575284528,-0.00392607591412919,0.00221632828953573,0.00457740352941012,0.00101080778280645,-0.00359986963100055,-0.00258143870944487,0.00300987120791828,0.000187301681742316,0.0114181565080893,0.00361897957144303,7.6210037322319e-05,0.00138300354993608,-0.0016340378360792,0.00280148783559739,0.00148882496459499,-0.00869378346570079,0.00067861728034932,-0.00358345555107427,0.0028758295660458,0.00724824075830581,-0.00422012028909433,0.000235690896350754,9.22171583113834e-05,0.00110547768295077,-0.00248777523100788,-0.00215717736319432,0.00891275794249097,0.0025291390420147,0.00174392321209613,0.00333783291878423,0.00487313832327649,-0.0016026439358804,-0.0041721950582448,-0.00580805785309475,0.00110689761748911,-0.00361978686195419,-0.000940155327756514,-0.00385272841266927,0.00481401040844505,-0.000969254642114045,0.00474419862110216,0.00538708855677902,0.00288433501066757,0.00145920178677338,0.00356191390358475,-8.12264016643166e-05,-0.00309338238200747,0.00104800764299731,0.000836976330008482,0.000462298971736205,-0.0044005409067954,-0.0105564305404023,-0.0030709748783401,-0.0058130544676912,-0.00557180282851658,-0.0070810841927523,-0.00761469902907734,-146.375,64.875
"8",-0.00326578519886253,-0.00658999108971184,-0.00768191979880974,-0.00361821993278166,-0.00476650567803352,-0.00126166836920158,-0.00736633806633286,-0.00121141411313229,-0.00809689523836024,0.00343055580626105,-0.00367059734087584,-0.0015696254667967,-0.00133172977299707,-0.00726812948987404,-0.0015522760613467,0.00242830497500003,0.000896767443539143,0.00585464512069526,-0.00112694110072387,-3.19596564600511e-06,-0.0106937989932969,-0.00884677620239407,0.0101786154577196,0.000517313144961423,-0.00348750954886035,0.00253196897427319,-0.0029303510533889,-0.00417507913098981,-0.00576261126425201,-0.00473269706215834,0.00327279775649789,-0.000537067777792638,-0.002975230036149,-0.00868778526338258,-0.000582558561686111,0.00182422397066326,-0.00636602675227645,0.0022162744298574,0.00140470913506889,-0.00255251659163408,0.000271098001131301,-0.000986730533141689,-0.00724783920440329,-0.00238615850878476,-0.00489036639383841,-0.000969130834648571,-0.000377301927681872,-0.00339140867898036,-0.0044104403058961,-0.0102184480726598,-0.00462999268764387,0.00447395633655218,-0.00287008603287493,-0.0110777016659841,-0.00636957861578673,-0.00739847524652112,-0.00557758035883887,-0.00313527717971777,0.000496554336896868,-0.00612669267784326,-0.00469968752885014,-0.0111413366186299,-0.00388780463440658,-0.00903945550739271,0.00438547889632065,-0.00749124569534899,-0.00179002516210384,-0.00271292167217145,-0.00390931292295124,-0.00553060640190532,-0.00719463814155134,0.000552165458105588,-0.00145919971015322,-0.00460753591640069,1.83893824769188e-05,0.00213479096749075,-0.00298252787324622,-0.00913198285665306,-0.00357592412157619,0.0026448354953669,0.000816250623548967,0.000122694352740038,-0.00316585006357994,-0.00120327630736623,-0.00579964252042851,0.00295670107946246,0.000111887678723471,-0.00424810660553158,-0.00435215391962285,-0.00705006585130005,0.000272293282035943,-0.00504153908857483,-0.00380371175726867,-0.0123697779619634,-0.00268887564295346,-0.00171140653632024,0.000783154843752354,-0.00184340846882615,0.000148840892154278,0.000263189840029585,-147.875,63.375
"9",0.00678945625164085,0.000867164107753365,0.00448466479858341,0.00413259882907318,0.00655524611126595,0.00590152676026841,-0.00128875302263089,0.00494003279201718,0.00190728263734567,0.00487762082546521,-0.000143109416201985,0.00155680731677591,0.00646594619677027,0.00382267822980642,0.00184228855287424,0.00509132607683673,0.0036604437207888,0.00773231466707947,0.00743207233664539,0.00397630523482919,0.000435434923850203,0.0054616775705737,0.00492926035936581,0.00233096243373269,0.00375704563548334,0.00286748305049178,0.0070858901741267,0.00316688105266966,0.00401922824716357,0.0038018046045013,0.00558335581982851,0.00343938240255504,0.00493967997546195,0.00467887540820425,0.00477050609583374,0.00568877722283698,-0.000317813993783382,0.00250450715092058,0.00572763205383582,0.00397768023883856,0.00642764571926541,0.00349068363788696,0.000684824106501988,0.00411561527861554,0.00661210190478213,0.00677637616579102,0.00440053145211632,0.00393977888605471,0.0054461864743529,0.00109323545999142,0.00557992535934509,-0.000646487725073641,0.000349885227293588,-0.00277489498861282,0.00207888990457557,0.00435574245866133,0.00425145849984012,0.00453452301061,0.00640998463078272,0.00597635656046974,0.00151945870072757,-0.00156177190435221,-0.000558442963234485,0.00408684389889263,0.00211228893114632,0.00432368531968598,0.00579012599390243,0.00586960369480642,0.00236985469705418,0.000125791040182378,0.000784158137007759,0.00517859630877356,0.00386790772925303,0.0011898865310155,0.00647972809825328,0.00545574877901209,0.00359636759790925,0.00614627106222961,0.00622964085325976,0.00564047623448672,0.00877280330285024,0.0051844208601713,0.00203347276013253,-0.000511311215984217,-0.00103218416758262,0.00427001322271568,0.00530370684970715,0.00199413320115951,-0.00137129790848418,0.00198147080114729,0.00432253239909688,0.00601398051733563,-0.000301604861919352,0.00429472409462996,0.00450465736095153,0.00515168216036366,0.00461648897036046,0.00433516366111907,0.00451606698939677,0.00386946341871885,-146.875,63.125
"11",-0.000652652127254127,0.00418289013499298,0.00388120692024231,0.00104875425831207,0.00276572706951308,0.00471538225912774,0.00142765250575093,0.00259458196618815,0.00373479670711488,0.00684712045366091,0.00455949635024424,0.00297835261566606,0.00672115564985138,0.00324753332717338,0.00105281016151425,0.00230015332995537,0.00322567635589587,0.00612182387639765,0.00678318465028203,0.00397247632885344,0.000494609886358979,0.00429222943701344,0.0148348827217709,0.00350135901943476,0.00276151959950872,0.00177932331177803,0.000314250270050866,0.00579213050830072,0.00376137644403039,0.00376312355030164,0.00491447526769724,0.00470008264482655,0.00439144208694305,0.0058553852417229,0.00362811617645115,0.00442651716846997,0.0027012402658046,0.00242947493191224,0.00642184511086191,0.00542075166619295,0.00421176855273233,0.00238993335836956,-0.000239223699458557,0.00227476896457774,0.0070615726267808,0.006532048014526,0.00257631216250832,0.00506245326958787,0.00300837906350734,-0.000853907549952893,0.00608802520350455,0.0190733198862913,0.00383285088411816,-0.00120779373476475,0.000218294951516838,0.00580468295417601,0.00368406348486643,0.00315684988448316,0.00492280794848906,0.00654035294413829,0.00403906483965333,-0.000619668693218424,0.00142835837423178,0.00374239606065772,0.0134883495587896,0.00336288736286544,0.00564064516622026,0.00467797856070206,0.0039999150652377,0.0174033297165046,0.00118973596074847,0.00405017431579047,0.00297162101977964,0.00186670483118552,0.00298361533236447,0.00606063206901207,0.00397114398032368,0.00485251324872783,0.00605148035428846,0.00460435109810427,0.00533369006995981,0.00412882266898806,0.00699674105692349,0.00183283374578238,-0.00105256535607337,0.00323195383449189,0.00649182237671467,0.00109662055724955,0.00717392399715256,0.000140618235464858,0.00242616996742195,0.00352339606992956,-0.00259117752898682,0.00410468750018983,0.00588134719155674,0.00439693528078573,0.00621026007368968,0.0058040921567233,0.00453712484634119,0.00381880104499011,-145.375,63.125
"12",-0.00440786747981413,-0.00488939332138702,-0.00427380697028769,-0.00803587538707793,-0.00482852205335692,-0.00449412997574226,-0.00820023542940907,-0.00522423710931584,-0.00434331474358512,-0.00238191296099108,-0.00996882077055575,-0.00529735102735394,-0.00263231627197862,-0.00525390116049361,-0.00743586680250575,-0.00377854711603462,-0.00639782407896413,-0.00349051713733235,-0.00301184562509197,-0.00432883977792556,-0.013513341438061,-0.00566949927479656,0.00577472091615689,-0.00345180929522524,-0.00511445519814347,-0.00608797258642197,-0.00420220233086914,-0.00142092834215929,-0.00561370066519961,-0.00314836628296635,-0.00363490135768276,-0.00379393396645345,-0.00514743394822495,-0.0035213423285671,-0.00338690038622885,-0.00405164996933004,-0.0114836956242554,-0.00670882653585776,-0.00459687393359839,-0.00315509890860705,-0.00377660534455766,-0.00610626767003544,-0.0113683115676186,-0.00450228878362226,-0.00261857486491919,-0.002976459621784,-0.00479022755903168,-0.00131502704071213,-0.00543524394593266,-0.00919244337125289,-0.00271029798819544,0.0112624307293413,-0.0112482215107218,-0.0105774447460047,-0.00893146114962316,-0.001229030237974,-0.0100717445332836,-0.00527449882772683,-0.00466761929631095,-0.00370672506874171,-0.00297600561770666,-0.0115385410109604,-0.00776251514310822,-0.00532111506734228,0.00528135591426961,-0.00411011467414456,-0.00406263495891974,-0.00499900972154795,-0.00425520740817631,0.0097047858027246,-0.00915783822847153,-0.00349013486028954,-0.00685310351014035,-0.00861997923382449,-0.00530244113703553,-0.00497350669962793,-0.00348650685867632,-0.00314276813230217,-0.00414522877136154,-0.00348671357370574,-0.00469731683454018,-0.00301344704701803,-0.00201318592672651,-0.00762483076511862,-0.0110490111574534,-0.00600319876650812,-0.00330279284936534,-0.00793884156943045,-0.0125658544639264,-0.00708030473510514,-0.00576619086595806,-0.00615906979361044,-0.0117136280556768,-0.00562540099343017,-0.00455954625779326,-0.00547695480211428,-0.00372392531631031,-0.0028903774540267,-0.00498265550042881,-0.00405983716732989,-159.375,62.875
