"","SR","x","y"
"2",4,-149.875,67.125
"3",10,-148.625,65.375
"4",2,-146.625,65.125
"5",4,-145.125,65.125
"6",2,25.625,65.125
"7",13,-146.375,64.875
"8",14,-147.875,63.375
"9",7,-146.875,63.125
"11",5,-145.375,63.125
"12",5,-159.375,62.875
"13",2,8.875,61.375
"14",9,-148.875,61.125
"19",2,-134.625,59.125
"20",27,15.375,59.125
"22",3,-155.125,58.625
"24",2,-133.375,58.375
"30",12,59.875,57.375
"31",7,18.375,57.125
"36",71,13.375,55.625
"37",4,36.875,55.625
"48",4,13.375,54.125
"50",2,-0.875,53.875
"51",2,-0.625,53.875
"52",2,-0.375,53.875
"53",8,9.625,53.875
"68",4,-2.625,52.375
"69",4,-2.375,52.375
"70",2,10.875,52.375
"72",3,13.625,52.375
"74",2,-60.125,52.125
"75",2,-59.875,52.125
"76",4,-2.625,52.125
"77",4,-2.375,52.125
"78",3,5.875,52.125
"80",2,-60.125,51.875
"81",2,-59.875,51.875
"82",2,-0.625,51.875
"86",2,-115.125,51.625
"88",7,11.875,51.625
"89",7,12.125,51.625
"92",2,-113.125,51.375
"93",3,11.625,51.375
"94",7,11.875,51.375
"95",7,12.125,51.375
"96",2,13.875,51.375
"98",4,83.125,51.125
"103",3,-1.375,50.625
"104",3,9.125,50.625
"107",2,20.375,50.625
"108",2,20.625,50.625
"110",2,-119.375,50.375
"111",4,20.375,50.125
"114",2,17.125,49.625
"115",2,21.375,49.625
"121",5,13.875,48.875
"122",53,20.875,48.625
"124",3,-56.125,48.125
"125",3,-55.875,48.125
"126",2,16.375,48.125
"127",7,21.625,48.125
"128",3,-56.125,47.875
"129",3,-55.875,47.875
"131",3,19.125,47.625
"135",2,-119.125,46.875
"136",2,74.875,46.875
"137",2,-119.125,46.625
"138",3,6.375,46.625
"139",2,6.625,46.625
"144",2,0.375,46.125
"145",3,7.375,46.125
"147",2,8.625,45.625
"152",3,20.625,44.625
"153",3,20.875,44.625
"154",3,22.625,44.625
"156",18,26.375,44.125
"157",3,40.125,44.125
"158",4,40.625,44.125
"159",9,19.375,43.875
"160",9,19.625,43.875
"163",2,4.625,43.625
"165",5,45.125,43.625
"167",4,-6.375,43.375
"170",2,23.375,43.125
"171",3,1.125,42.875
"172",3,27.875,42.875
"173",6,74.375,42.625
"174",2,27.375,42.375
"177",2,-7.125,41.875
"179",2,-6.125,41.875
"181",2,-4.625,41.625
"182",2,-7.375,41.375
"184",3,-4.875,41.375
"185",3,-4.625,41.375
"186",3,13.875,41.125
"187",4,44.875,41.125
"190",2,-5.125,40.875
"191",7,-3.875,40.875
"192",4,-2.125,40.875
"194",3,-76.125,40.625
"195",3,-75.875,40.625
"197",2,-5.875,40.625
"200",4,44.625,40.625
"202",3,-74.125,40.375
"203",4,-7.625,40.375
"204",2,-5.875,40.375
"205",12,-4.625,40.375
"206",4,-4.375,40.375
"207",3,-4.125,40.375
"209",4,-74.375,40.125
"211",3,-7.375,40.125
"212",3,-6.125,40.125
"213",2,46.125,40.125
"214",2,46.625,40.125
"215",3,-1.875,39.875
"216",2,33.625,39.875
"218",3,-8.875,39.375
"220",4,-6.875,39.125
"221",4,-6.625,39.125
"224",4,-6.875,38.875
"225",4,-6.625,38.875
"226",14,-5.125,38.875
"229",2,35.375,38.625
"230",7,-7.125,38.125
"231",31,35.125,38.125
"232",2,35.375,37.875
"235",7,-4.125,37.375
"237",4,-7.875,37.125
"239",2,30.375,37.125
"240",2,30.625,37.125
"242",3,30.375,36.875
"243",2,30.625,36.875
"244",13,-118.625,36.625
"246",35,-105.375,35.875
"247",6,-105.125,35.875
"248",3,-104.375,35.875
"249",18,-106.625,35.625
"250",28,-106.375,35.375
"251",30,-107.875,35.125
"252",7,-107.875,34.875
"254",6,-108.875,33.875
"255",4,-106.625,33.875
"256",15,-104.625,33.625
"260",7,-100.875,23.375
"261",2,-104.125,21.875
"262",2,-96.875,19.375
"263",11,-98.625,19.125
"264",4,-73.875,11.125
"265",4,-72.375,10.875
"266",4,-72.375,10.625
"269",11,-73.875,4.625
"270",7,-72.125,4.625
"271",2,-77.875,0.625
"272",2,-76.875,0.625
"273",2,-76.625,0.625
"275",3,-76.125,0.625
"276",2,-75.875,0.625
"277",2,-63.125,0.625
"278",5,-78.375,0.375
"281",2,-77.875,0.125
"285",2,-79.375,-0.125
"286",10,-50.375,-0.125
"287",7,-55.625,-0.375
"288",7,-55.375,-0.375
"289",2,-77.875,-0.625
"290",2,-55.625,-0.625
"291",2,-78.625,-1.125
"292",2,-78.625,-1.375
"295",8,-76.375,-1.875
"296",9,-45.375,-2.375
"297",9,-45.125,-2.375
"298",2,-77.625,-2.875
"299",2,-77.375,-2.875
"300",2,-77.625,-3.125
"301",2,-77.375,-3.125
"302",5,-61.875,-3.125
"304",21,-55.625,-3.375
"305",5,-55.375,-3.375
"307",14,-55.625,-3.625
"308",4,-78.875,-3.875
"310",15,-78.125,-4.125
"312",11,-78.875,-4.875
"314",10,-55.125,-4.875
"315",18,-76.625,-5.375
"316",25,-76.375,-5.375
"317",7,-75.875,-5.375
"318",4,-39.875,-5.375
"319",13,-36.625,-5.375
"320",7,-78.875,-5.875
"321",22,-77.625,-5.875
"322",21,-77.125,-6.625
"323",29,-75.625,-6.625
"324",8,-77.375,-7.625
"325",5,-75.875,-8.125
"326",12,-75.875,-8.375
"330",15,-75.375,-10.125
"333",14,-68.875,-10.375
"334",11,-38.125,-11.125
"335",26,-71.875,-11.375
"337",6,-69.875,-11.375
"342",3,-58.375,-12.125
"343",7,-38.875,-12.125
"349",24,-70.375,-12.875
"350",2,-69.375,-12.875
"353",5,-42.125,-13.375
"354",9,-72.875,-13.875
"356",5,-40.875,-14.125
"357",16,-46.375,-14.375
"358",6,-54.125,-14.625
"359",12,-44.375,-14.875
"362",5,-55.625,-15.625
"363",4,-41.125,-15.625
"364",4,-40.875,-15.625
"365",5,-55.625,-15.875
"367",5,-44.125,-16.875
"368",4,-69.625,-17.125
"369",2,-69.875,-17.375
"371",5,-44.875,-17.375
"373",13,-68.375,-17.625
"374",11,-68.375,-17.875
"377",3,-39.625,-18.125
"378",5,-68.875,-18.375
"379",2,-56.875,-18.375
"380",2,-63.875,-18.625
"382",2,-68.375,-19.625
"384",3,-68.625,-20.875
"386",6,-45.375,-22.125
"388",6,-45.375,-22.375
"393",3,-70.875,-27.875
"396",9,-49.875,-28.625
"397",2,-63.125,-29.125
"398",2,-62.875,-29.125
"399",3,-70.375,-29.375
"400",14,-56.625,-29.875
"401",6,-70.875,-30.375
"402",2,-63.125,-30.375
"403",2,-70.875,-31.125
"406",2,-69.125,-32.875
"407",4,-69.625,-33.125
"408",3,-69.125,-33.125
"411",2,-69.125,-34.375
"412",2,-70.875,-34.625
"414",2,-71.875,-35.375
"415",4,-63.625,-35.375
"418",2,-70.625,-36.625
"421",2,-72.875,-38.375
"426",13,-70.625,-41.125
"427",2,-71.875,-46.875
