"","SR","x","y"
"3",2,18.875,68.375
"4",2,19.125,68.375
"5",4,33.875,68.125
"6",4,34.125,68.125
"7",4,33.875,67.875
"8",4,34.125,67.875
"9",7,-149.875,67.125
"10",2,-148.625,65.375
"11",5,-146.625,65.125
"13",8,-146.375,64.875
"16",3,-145.375,63.125
"17",3,-159.375,62.875
"18",5,8.875,61.375
"19",6,-148.875,61.125
"21",2,-150.875,60.625
"24",15,15.375,59.125
"29",6,59.875,57.375
"30",16,18.375,57.125
"33",2,39.125,55.875
"36",23,13.375,55.625
"37",4,13.625,55.625
"38",6,36.875,55.625
"40",2,-126.625,55.125
"43",2,20.375,54.375
"44",3,13.375,54.125
"45",5,9.625,53.875
"47",3,22.625,53.375
"50",2,-117.375,52.875
"51",3,6.375,52.875
"53",3,23.125,52.625
"56",6,-2.625,52.375
"57",6,-2.375,52.375
"58",5,7.125,52.375
"59",5,7.375,52.375
"60",2,10.875,52.375
"61",2,-60.125,52.125
"62",2,-59.875,52.125
"63",6,-2.625,52.125
"64",6,-2.375,52.125
"66",2,-114.375,51.875
"67",2,-60.125,51.875
"68",2,-59.875,51.875
"69",13,-0.625,51.875
"72",8,11.875,51.625
"73",8,12.125,51.625
"74",6,22.625,51.625
"77",3,11.625,51.375
"78",8,11.875,51.375
"79",8,12.125,51.375
"81",5,83.125,51.125
"82",7,15.625,50.875
"83",2,46.875,50.875
"84",2,47.125,50.875
"87",7,15.625,50.625
"88",5,20.375,50.625
"89",5,20.625,50.625
"92",3,16.375,50.125
"93",10,20.375,50.125
"96",2,-113.375,49.625
"97",2,2.375,49.625
"98",3,17.125,49.625
"99",7,21.375,49.625
"100",2,14.875,49.375
"103",2,14.625,49.125
"105",2,0.625,48.875
"106",2,2.375,48.875
"107",2,2.875,48.875
"108",4,9.125,48.875
"109",10,13.875,48.875
"110",4,2.375,48.625
"111",14,20.875,48.625
"112",3,0.375,48.375
"113",3,4.625,48.375
"114",3,-56.125,48.125
"115",3,-55.875,48.125
"116",4,16.375,48.125
"117",3,21.625,48.125
"118",3,-56.125,47.875
"119",3,-55.875,47.875
"122",3,8.375,47.625
"123",26,19.125,47.625
"124",2,-1.625,47.375
"126",2,2.875,47.375
"128",2,8.125,47.125
"129",2,7.375,46.875
"130",5,6.375,46.625
"131",3,6.625,46.625
"132",6,23.375,46.625
"133",5,23.625,46.625
"134",6,23.375,46.375
"135",5,23.625,46.375
"136",3,0.375,46.125
"137",3,7.375,46.125
"139",8,-71.625,45.625
"140",8,-71.375,45.625
"141",2,8.375,45.625
"142",4,8.625,45.625
"143",2,8.625,45.375
"144",3,9.375,45.375
"145",2,9.625,45.375
"146",3,9.625,45.125
"147",6,28.125,45.125
"151",3,-75.375,44.875
"152",3,21.125,44.875
"153",3,-75.875,44.625
"154",9,-75.625,44.625
"155",3,-75.375,44.625
"156",2,-70.875,44.625
"157",2,20.625,44.625
"158",2,20.875,44.625
"159",3,22.625,44.625
"161",2,-75.625,44.375
"162",3,-75.375,44.375
"163",7,-72.625,44.375
"164",18,26.375,44.125
"165",3,40.625,44.125
"167",2,19.375,43.875
"168",2,19.625,43.875
"170",3,4.625,43.625
"171",3,-117.125,43.375
"172",5,-87.875,43.375
"174",5,-80.625,43.125
"177",5,23.375,43.125
"178",4,1.125,42.875
"179",3,27.875,42.875
"181",4,74.375,42.625
"184",2,-6.375,41.875
"185",2,-6.125,41.875
"187",3,-7.375,41.375
"188",2,-5.125,41.375
"191",5,13.875,41.125
"192",3,14.125,41.125
"194",15,-97.625,40.875
"196",3,-5.125,40.875
"197",8,-3.875,40.875
"198",3,14.125,40.875
"201",3,-103.125,40.625
"202",5,-76.125,40.625
"203",6,-75.875,40.625
"204",13,-74.125,40.625
"205",3,-7.375,40.625
"207",2,44.625,40.625
"208",5,-74.125,40.375
"209",3,-7.625,40.375
"210",8,-4.625,40.375
"211",2,43.875,40.375
"212",2,44.125,40.375
"213",2,44.625,40.375
"214",4,-74.375,40.125
"215",3,-7.625,40.125
"216",9,-7.375,40.125
"217",2,-6.125,40.125
"219",5,-3.375,39.875
"220",24,-1.875,39.875
"221",6,-3.875,39.625
"223",4,-8.875,39.375
"224",4,-3.375,39.375
"225",2,46.125,39.375
"227",5,-6.875,39.125
"228",5,-6.625,39.125
"229",2,-2.125,39.125
"230",2,46.375,39.125
"231",5,-6.875,38.875
"232",5,-6.625,38.875
"233",20,-5.125,38.875
"234",2,-2.125,38.875
"235",2,46.125,38.875
"236",5,-89.875,38.625
"238",11,-7.125,38.125
"239",12,35.125,38.125
"241",5,-5.875,37.375
"242",4,-5.375,37.375
"243",8,-5.125,37.375
"244",6,-4.875,37.375
"245",10,-4.125,37.375
"246",3,28.125,37.375
"247",7,-7.875,37.125
"248",6,-5.875,37.125
"249",5,-5.625,37.125
"250",3,-5.125,37.125
"251",3,-2.375,37.125
"252",2,30.375,37.125
"253",2,30.625,37.125
"254",7,-5.875,36.875
"255",9,-5.625,36.875
"256",2,30.375,36.875
"257",2,30.625,36.875
"258",12,-118.625,36.625
"259",4,-5.875,36.625
"260",6,-5.625,36.625
"261",8,-105.375,35.875
"263",3,-106.625,35.625
"264",5,-106.375,35.375
"265",8,-107.875,35.125
"266",4,-107.875,34.875
"267",2,-108.875,33.875
"269",2,-104.625,33.625
"270",2,-82.125,28.125
"271",2,-81.875,28.125
"274",2,-82.125,27.875
"275",2,-81.875,27.875
"276",2,-100.875,23.625
"277",2,-100.875,23.375
"279",2,-99.125,19.125
"280",2,-98.875,19.125
"281",4,-98.625,19.125
"282",2,-99.125,18.875
"283",2,-98.875,18.875
"284",4,-73.875,11.125
"285",3,-72.375,10.875
"286",3,-72.375,10.625
"287",5,-73.875,4.625
"288",2,-72.375,4.625
"289",3,-72.125,4.625
"291",20,-63.125,0.625
"293",11,-63.125,0.375
"297",20,-50.375,-0.125
"298",2,-55.625,-0.375
"299",2,-55.375,-0.375
"300",2,-77.875,-0.625
"301",8,-55.625,-0.625
"302",2,-78.625,-1.125
"305",2,-64.875,-1.375
"306",2,-77.875,-1.875
"307",13,-76.375,-1.875
"308",40,-45.375,-2.375
"309",40,-45.125,-2.375
"310",2,-77.625,-2.875
"311",2,-77.375,-2.875
"312",2,-77.625,-3.125
"313",2,-77.375,-3.125
"314",16,-61.875,-3.125
"315",4,-58.625,-3.125
"316",53,-55.625,-3.375
"317",23,-55.375,-3.375
"319",42,-55.625,-3.625
"320",7,-78.125,-4.125
"321",28,-62.875,-4.375
"322",9,-78.875,-4.875
"323",11,-55.625,-4.875
"324",19,-55.125,-4.875
"325",23,-76.625,-5.375
"326",29,-76.375,-5.375
"327",14,-75.875,-5.375
"328",6,-39.875,-5.375
"329",19,-36.625,-5.375
"330",2,-78.875,-5.875
"331",33,-77.625,-5.875
"332",5,-77.125,-6.625
"333",15,-75.625,-6.625
"335",5,-77.375,-7.625
"336",3,-75.875,-8.125
"337",4,-63.625,-8.625
"338",20,-63.375,-8.625
"340",7,-63.625,-8.875
"341",6,-63.375,-8.875
"342",2,-47.625,-9.875
"345",18,-68.875,-10.375
"347",10,-38.125,-11.125
"348",5,-71.875,-11.375
"350",41,-69.875,-11.375
"351",3,-75.125,-11.875
"352",7,-59.375,-11.875
"355",14,-58.375,-12.125
"356",10,-38.875,-12.125
"357",5,-38.125,-12.625
"359",16,-70.375,-12.875
"360",8,-59.125,-13.125
"361",8,-58.875,-13.125
"362",6,-42.125,-13.375
"363",4,-72.875,-13.875
"364",3,-46.125,-14.125
"365",10,-40.875,-14.125
"366",14,-46.375,-14.375
"367",9,-54.125,-14.625
"368",16,-44.375,-14.875
"369",2,-68.875,-15.375
