"","SR","poligons","x","y","PSV","RPD"
"3",1.4142135623731,124636,18.875,68.375,0.367807121824657,-0.00533401320942239
"4",1.4142135623731,124637,19.125,68.375,0.367807121824657,-0.00533401320942239
"5",2,126136,33.875,68.125,0.27451425534155,-0.0376524698166111
"6",2,126137,34.125,68.125,0.27451425534155,-0.0376524698166111
"7",2,127576,33.875,67.875,0.27451425534155,-0.0376524698166111
"8",2,127577,34.125,67.875,0.27451425534155,-0.0376524698166111
"9",2.64575131106459,131161,-149.875,67.125,0.332738916748904,0.0500917912921277
"10",1.4142135623731,141246,-148.625,65.375,0.223505186164394,-0.0207428242094224
"11",2.23606797749979,142694,-146.625,65.125,0.33225781993264,0.00975967943216022
"13",2.82842712474619,144135,-146.375,64.875,0.30194361199589,-0.0566578912521035
"16",1.73205080756888,154219,-145.375,63.125,0.627993397071516,-0.0382735672192021
"17",1.73205080756888,155603,-159.375,62.875,0.275251131387906,-0.00173121221920203
"18",2.23606797749979,164916,8.875,61.375,0.247970990853923,-0.0532563037678398
"19",2.44948974278318,165725,-148.875,61.125,0.346218482311198,0.0408675231783701
"21",1.4142135623731,168597,-150.875,60.625,NA,-0.0553442772094224
"24",3.87298334620742,177902,15.375,59.125,0.442025339724666,0.131783867537743
"29",2.44948974278318,188160,59.875,57.375,0.259958776631417,-0.00083220502162995
"30",4,189434,18.375,57.125,0.451008420451614,0.151456768886137
"33",1.4142135623731,196717,39.125,55.875,0.480378614821522,0.132563349790578
"36",4.79583152331272,198054,13.375,55.625,0.380169840477535,-0.0383968966539622
"37",2,198055,13.625,55.625,0.206310623050521,-0.0387155080166112
"38",2.44948974278318,198148,36.875,55.625,0.276870380232143,-0.0802002158216299
"40",1.4142135623731,200374,-126.625,55.125,0.407421385069379,0.0567057177905776
"43",1.4142135623731,205282,20.375,54.375,0.011341643041856,0.0330705637905776
"44",1.73205080756888,206694,13.375,54.125,0.587002859229833,-0.142184873219202
"45",2.23606797749979,208119,9.625,53.875,0.546794439553482,-0.14087563456784
"47",1.73205080756888,211051,22.625,53.375,0.426428990550913,0.162097205780798
"50",1.4142135623731,213371,-117.375,52.875,0.261890723250157,0.0133599197905776
"51",1.73205080756888,213866,6.375,52.875,0.311878934716401,0.0444339105807979
"53",1.73205080756888,215373,23.125,52.625,0.300509643747999,0.0452412857807979
"56",2.44948974278318,216710,-2.625,52.375,0.306865452521412,-0.00748126302162999
"57",2.44948974278318,216711,-2.375,52.375,0.306865452521412,-0.00748126302162999
