"","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","RPD","x","y"
"3",-0.070007114264807,-0.00608951288402226,-0.0306839904249963,-0.00539932714035479,0.00627164911865075,-0.0877159335684813,0.0517391246481456,-0.0278985774593131,-0.016590484043183,-0.0478721692762155,0.0105710668030574,-0.000105272797486455,-0.0274410890240913,0.0293995817390973,-0.0212011775205244,-0.079174503635294,-0.0143715082758163,0.00865426511561662,-0.0375399068622097,-0.0140847641795301,-0.0131028074562796,-0.0326040950855691,-0.064229111800347,0.0050033148596742,-0.0189348077468365,0.0224174006987697,0.0895552960083513,0.00732804145763066,-0.0137795729539894,-0.0432237913772655,-0.0576233340166833,-0.0553598983525595,-0.0301488110218576,-0.0601050962481354,-0.0458038503792972,0.0481443067008835,-0.0682476772031544,-0.0630949742042111,-0.058874009346224,0.00476419881950857,-0.00717580280131935,-0.0791579297932089,-0.055310940828694,0.0410078572702887,-0.00770593061405572,-0.0984972558574472,0.0179413979832573,-0.0438096725083333,-0.000665768026823277,0.0133539001926804,-0.022009132494518,-0.0305664017906407,-0.0516422606405732,-0.0190474860751132,0.00108854225312149,-0.0243604568541954,-0.0365680677823836,0.00111976448205314,-0.0603496817937511,-0.0197513492536731,-0.0757420972357612,-0.00564255796981084,-0.0118779496115545,-0.0292902330736122,-0.0121410686388299,-0.0543487460256978,-0.0781509908888999,0.0032885996594052,0.0458173539103129,-0.02420620079968,0.0191224992605139,-0.057747258187823,-0.0687202234235582,-0.0158643675547875,-0.0218281813486958,-0.0242654804563882,-0.0135746308884933,-0.0472857628212464,-0.0235413204097881,0.0413508011691816,0.02886326099429,-0.0041406986688553,-0.0587630891695621,0.0302857302635006,-0.0221436099820159,-0.0454888479766563,-0.11798117202888,-0.0657751101081949,0.0288866173620543,-0.102033538221156,0.0327098642648463,-0.00698951786809721,0.0152834428006315,-0.027923469887409,-0.00979747600863046,-0.0055880585087954,-0.0774994429992813,-0.0939328776108005,-0.0255412430739008,0.0478519645066196,18.875,68.375
"4",-0.070007114264807,-0.00608951288402226,-0.0306839904249963,-0.00539932714035479,0.00627164911865075,-0.0877159335684813,0.0517391246481456,-0.0278985774593131,-0.016590484043183,-0.0478721692762155,0.0105710668030574,-0.000105272797486455,-0.0274410890240913,0.0293995817390973,-0.0212011775205244,-0.079174503635294,-0.0143715082758163,0.00865426511561662,-0.0375399068622097,-0.0140847641795301,-0.0131028074562796,-0.0326040950855691,-0.064229111800347,0.0050033148596742,-0.0189348077468365,0.0224174006987697,0.0895552960083513,0.00732804145763066,-0.0137795729539894,-0.0432237913772655,-0.0576233340166833,-0.0553598983525595,-0.0301488110218576,-0.0601050962481354,-0.0458038503792972,0.0481443067008835,-0.0682476772031544,-0.0630949742042111,-0.058874009346224,0.00476419881950857,-0.00717580280131935,-0.0791579297932089,-0.055310940828694,0.0410078572702887,-0.00770593061405572,-0.0984972558574472,0.0179413979832573,-0.0438096725083333,-0.000665768026823277,0.0133539001926804,-0.022009132494518,-0.0305664017906407,-0.0516422606405732,-0.0190474860751132,0.00108854225312149,-0.0243604568541954,-0.0365680677823836,0.00111976448205314,-0.0603496817937511,-0.0197513492536731,-0.0757420972357612,-0.00564255796981084,-0.0118779496115545,-0.0292902330736122,-0.0121410686388299,-0.0543487460256978,-0.0781509908888999,0.0032885996594052,0.0458173539103129,-0.02420620079968,0.0191224992605139,-0.057747258187823,-0.0687202234235582,-0.0158643675547875,-0.0218281813486958,-0.0242654804563882,-0.0135746308884933,-0.0472857628212464,-0.0235413204097881,0.0413508011691816,0.02886326099429,-0.0041406986688553,-0.0587630891695621,0.0302857302635006,-0.0221436099820159,-0.0454888479766563,-0.11798117202888,-0.0657751101081949,0.0288866173620543,-0.102033538221156,0.0327098642648463,-0.00698951786809721,0.0152834428006315,-0.027923469887409,-0.00979747600863046,-0.0055880585087954,-0.0774994429992813,-0.0939328776108005,-0.0255412430739008,0.0478519645066196,19.125,68.375
"5",-0.0767869212170815,-0.0172056254551345,-0.0634890151559534,-0.0351202334252071,-0.0295440956759451,-0.107026309280388,0.0194936319673381,-0.0754285554643318,-0.065748075581217,-0.0907328112661031,-0.0383603084542528,-0.0262875775909381,-0.0371378846160332,0.0489693889314858,-0.012939483134227,-0.0661946088669981,-0.0221075838406235,-0.0515348184570112,-0.0252088602868209,-0.00193737874515665,0.0209254177862201,-0.0250958145440427,-0.0795116051779553,0.0125646964801239,-0.0525739248489097,0.00505122162672589,0.0139359736978644,-0.0564059955537226,-0.0435300388009558,-0.0761857737781949,-0.0643248544951143,-0.0329565975946441,-0.0670658266712051,-0.0668310149163258,-0.014713849904975,-0.00661700000848869,-0.12938890511606,-0.113381319627948,-0.0625797693179133,-0.0221718383321434,-0.0296661854845854,-0.0960134693075959,-0.0828069060658523,0.0328282161855389,-0.012556661577228,-0.0940625133765703,-0.0167867857886801,-0.0234443218705506,0.0159513371680972,-0.0663627282151961,-0.0417375800958512,-0.0547794121001506,-0.0875680077127844,-0.0260935310718892,-0.0268934261992461,-0.0412143062899916,-0.0908436756638816,-0.0300145396084268,-0.102063882355933,-0.027772912376714,-0.106840042958801,-0.00728133404348963,-0.0506239681638334,-0.019101955582881,-0.0368657630011497,-0.0719532836922793,-0.125339327451662,-0.0138901712059095,0.0097826412484785,-0.0676628781723231,0.0287689231912092,-0.0865576832852573,-0.104709434146686,-0.0618541553419378,-0.0452712220142947,-0.0300667540423523,-0.000205403662015879,-0.0844796370386408,0.000365195038210475,-0.00541903478870293,0.0729777146162106,-0.00394607703467414,-0.107914344744827,-0.0237053053377657,0.0171762885172508,-0.0642487944721993,-0.108832012202263,-0.0230922401014724,-0.00242051196635529,-0.103577672826544,0.0246749064608455,-0.0688233013386958,-0.0163737580889385,-0.0517559168815999,-0.0364398607120064,-0.0578649810512376,-0.107840140341303,-0.109700740799871,-0.0650003008868401,-0.0163860036983782,33.875,68.125
"6",-0.0767869212170815,-0.0172056254551345,-0.0634890151559534,-0.0351202334252071,-0.0295440956759451,-0.107026309280388,0.0194936319673381,-0.0754285554643318,-0.065748075581217,-0.0907328112661031,-0.0383603084542528,-0.0262875775909381,-0.0371378846160332,0.0489693889314858,-0.012939483134227,-0.0661946088669981,-0.0221075838406235,-0.0515348184570112,-0.0252088602868209,-0.00193737874515665,0.0209254177862201,-0.0250958145440427,-0.0795116051779553,0.0125646964801239,-0.0525739248489097,0.00505122162672589,0.0139359736978644,-0.0564059955537226,-0.0435300388009558,-0.0761857737781949,-0.0643248544951143,-0.0329565975946441,-0.0670658266712051,-0.0668310149163258,-0.014713849904975,-0.00661700000848869,-0.12938890511606,-0.113381319627948,-0.0625797693179133,-0.0221718383321434,-0.0296661854845854,-0.0960134693075959,-0.0828069060658523,0.0328282161855389,-0.012556661577228,-0.0940625133765703,-0.0167867857886801,-0.0234443218705506,0.0159513371680972,-0.0663627282151961,-0.0417375800958512,-0.0547794121001506,-0.0875680077127844,-0.0260935310718892,-0.0268934261992461,-0.0412143062899916,-0.0908436756638816,-0.0300145396084268,-0.102063882355933,-0.027772912376714,-0.106840042958801,-0.00728133404348963,-0.0506239681638334,-0.019101955582881,-0.0368657630011497,-0.0719532836922793,-0.125339327451662,-0.0138901712059095,0.0097826412484785,-0.0676628781723231,0.0287689231912092,-0.0865576832852573,-0.104709434146686,-0.0618541553419378,-0.0452712220142947,-0.0300667540423523,-0.000205403662015879,-0.0844796370386408,0.000365195038210475,-0.00541903478870293,0.0729777146162106,-0.00394607703467414,-0.107914344744827,-0.0237053053377657,0.0171762885172508,-0.0642487944721993,-0.108832012202263,-0.0230922401014724,-0.00242051196635529,-0.103577672826544,0.0246749064608455,-0.0688233013386958,-0.0163737580889385,-0.0517559168815999,-0.0364398607120064,-0.0578649810512376,-0.107840140341303,-0.109700740799871,-0.0650003008868401,-0.0163860036983782,34.125,68.125
"7",-0.0767869212170815,-0.0172056254551345,-0.0634890151559534,-0.0351202334252071,-0.0295440956759451,-0.107026309280388,0.0194936319673381,-0.0754285554643318,-0.065748075581217,-0.0907328112661031,-0.0383603084542528,-0.0262875775909381,-0.0371378846160332,0.0489693889314858,-0.012939483134227,-0.0661946088669981,-0.0221075838406235,-0.0515348184570112,-0.0252088602868209,-0.00193737874515665,0.0209254177862201,-0.0250958145440427,-0.0795116051779553,0.0125646964801239,-0.0525739248489097,0.00505122162672589,0.0139359736978644,-0.0564059955537226,-0.0435300388009558,-0.0761857737781949,-0.0643248544951143,-0.0329565975946441,-0.0670658266712051,-0.0668310149163258,-0.014713849904975,-0.00661700000848869,-0.12938890511606,-0.113381319627948,-0.0625797693179133,-0.0221718383321434,-0.0296661854845854,-0.0960134693075959,-0.0828069060658523,0.0328282161855389,-0.012556661577228,-0.0940625133765703,-0.0167867857886801,-0.0234443218705506,0.0159513371680972,-0.0663627282151961,-0.0417375800958512,-0.0547794121001506,-0.0875680077127844,-0.0260935310718892,-0.0268934261992461,-0.0412143062899916,-0.0908436756638816,-0.0300145396084268,-0.102063882355933,-0.027772912376714,-0.106840042958801,-0.00728133404348963,-0.0506239681638334,-0.019101955582881,-0.0368657630011497,-0.0719532836922793,-0.125339327451662,-0.0138901712059095,0.0097826412484785,-0.0676628781723231,0.0287689231912092,-0.0865576832852573,-0.104709434146686,-0.0618541553419378,-0.0452712220142947,-0.0300667540423523,-0.000205403662015879,-0.0844796370386408,0.000365195038210475,-0.00541903478870293,0.0729777146162106,-0.00394607703467414,-0.107914344744827,-0.0237053053377657,0.0171762885172508,-0.0642487944721993,-0.108832012202263,-0.0230922401014724,-0.00242051196635529,-0.103577672826544,0.0246749064608455,-0.0688233013386958,-0.0163737580889385,-0.0517559168815999,-0.0364398607120064,-0.0578649810512376,-0.107840140341303,-0.109700740799871,-0.0650003008868401,-0.0163860036983782,33.875,67.875
"8",-0.0767869212170815,-0.0172056254551345,-0.0634890151559534,-0.0351202334252071,-0.0295440956759451,-0.107026309280388,0.0194936319673381,-0.0754285554643318,-0.065748075581217,-0.0907328112661031,-0.0383603084542528,-0.0262875775909381,-0.0371378846160332,0.0489693889314858,-0.012939483134227,-0.0661946088669981,-0.0221075838406235,-0.0515348184570112,-0.0252088602868209,-0.00193737874515665,0.0209254177862201,-0.0250958145440427,-0.0795116051779553,0.0125646964801239,-0.0525739248489097,0.00505122162672589,0.0139359736978644,-0.0564059955537226,-0.0435300388009558,-0.0761857737781949,-0.0643248544951143,-0.0329565975946441,-0.0670658266712051,-0.0668310149163258,-0.014713849904975,-0.00661700000848869,-0.12938890511606,-0.113381319627948,-0.0625797693179133,-0.0221718383321434,-0.0296661854845854,-0.0960134693075959,-0.0828069060658523,0.0328282161855389,-0.012556661577228,-0.0940625133765703,-0.0167867857886801,-0.0234443218705506,0.0159513371680972,-0.0663627282151961,-0.0417375800958512,-0.0547794121001506,-0.0875680077127844,-0.0260935310718892,-0.0268934261992461,-0.0412143062899916,-0.0908436756638816,-0.0300145396084268,-0.102063882355933,-0.027772912376714,-0.106840042958801,-0.00728133404348963,-0.0506239681638334,-0.019101955582881,-0.0368657630011497,-0.0719532836922793,-0.125339327451662,-0.0138901712059095,0.0097826412484785,-0.0676628781723231,0.0287689231912092,-0.0865576832852573,-0.104709434146686,-0.0618541553419378,-0.0452712220142947,-0.0300667540423523,-0.000205403662015879,-0.0844796370386408,0.000365195038210475,-0.00541903478870293,0.0729777146162106,-0.00394607703467414,-0.107914344744827,-0.0237053053377657,0.0171762885172508,-0.0642487944721993,-0.108832012202263,-0.0230922401014724,-0.00242051196635529,-0.103577672826544,0.0246749064608455,-0.0688233013386958,-0.0163737580889385,-0.0517559168815999,-0.0364398607120064,-0.0578649810512376,-0.107840140341303,-0.109700740799871,-0.0650003008868401,-0.0163860036983782,34.125,67.875
"9",0.0730064766606157,0.0467902940538623,-0.0130879527720499,0.0747956639337064,0.108883309722041,-0.00320467814494907,0.036061577479765,0.0132295046428397,0.0727494115403212,-0.0238263918899857,0.092106163040836,0.0589199786839308,0.0382763613935766,0.144259039258645,0.0451676873638022,-0.00472512450042251,0.0471811193127062,0.0686619336275733,0.075360749490118,0.0647564090790396,0.0887794425406999,0.0633204641908769,-0.0432450418841779,0.0882364005150627,0.0726183669351466,0.0418634471469316,0.0674566424847475,0.0891672112677266,0.0772893326379357,-0.0518908020554578,0.0165575399804713,0.0245029956085935,0.0032631339909247,0.0133577247730162,0.029303856482308,0.0431198679212184,-0.0667269137287365,-0.0274330645109885,0.0629612771398357,0.0410776676509136,0.043863049693227,0.0611218746220767,0.0187646893842455,0.140602615834431,0.0255672145660609,0.0508296824944449,0.0729684495960055,0.0274505310832848,0.0193403930481142,0.0325624656410688,0.0365854962757284,0.134999770044402,-0.030315207063398,0.0829282718870707,0.0758830554605745,0.0568389917708961,-0.0103785298830006,0.104287712698319,-0.0318675080688082,0.0548763771374644,0.0129419993847715,0.0618007908508649,0.0557710180663386,0.0772878341036729,0.0502380448170651,0.0221853083284707,-0.0316933445764698,0.0514258089396465,0.0245590208960897,0.0167288881315625,0.0878915685357464,0.029465057761293,-0.0394317073889807,-0.0265332820588752,0.0343160552734517,0.0368696733451537,0.131650069988429,0.0481061198670214,0.042506542901536,0.179616065621705,0.0958918100837127,0.0407335398755505,-0.0148006513139931,0.0242528532204485,0.139737709408019,0.0825477405357564,-0.0182867418635253,0.00216795798697522,0.0796856086956635,0.0342151167260599,0.0742061330749539,0.0352810591020044,0.0416133116742338,0.017004294061596,0.0474037383757436,0.107800118064217,0.0480816848551067,-0.0050594764969486,0.0352120668255024,0.0228458163910882,-149.875,67.125
"10",-0.060256428004807,-0.0219904476840223,-0.0741370916249963,0.00314970213964522,-0.0296174381813492,-0.0238090958684813,-0.000943435951854421,-0.0528603101393131,-0.0428174638431831,-0.0972337574762154,-0.101296792096943,-0.0374595457074864,-0.0344326093240913,-0.0191813524609027,-0.0484406441205244,-0.043061544795294,-0.0256548144758162,-0.0561472785843834,-0.0164870294922096,0.00684268194047005,0.0152272925437205,0.010762137784431,-0.068893982400347,-0.0324721326403259,-0.105147338346836,-0.0558531459712303,-0.0839553897916487,-0.0754654731423693,-0.0204270719539896,-0.0320030779772654,-0.0578109494166833,0.00716755584744055,-0.0905673577918575,-0.0393946823481354,0.0181161607207028,-0.0716371373891164,-0.0375741228031544,-0.052894182704211,0.030012598453776,-0.0491814494904914,-0.0311743272013195,-0.0566365462832089,-0.0503660419386941,-0.0588270522297113,-0.0114428339140558,-0.0081301330574472,-0.0659345110167426,-0.0698599307283332,0.0137522968331766,-0.0686160620073196,-0.017302683494518,-0.0769311190906408,-0.0520986935405732,-0.0241280697851131,-0.0227307116468785,-0.0241285518541954,-0.0864288912823836,-0.0462531174179468,-0.0199811141937511,-0.014641345753673,-0.0519119919357612,-0.0640579849538109,-0.125942333011554,-0.0334849233736123,-0.0556259268088299,-0.0359109855756978,-0.0485379706688998,-0.0371707815405948,0.0278605730103128,-0.11476791689968,-0.00672737197948631,-0.053740947087823,-0.0263601370335582,-0.00471018475478752,-0.0509033793486958,-0.0760411045563882,-0.0329630354884934,-0.0793050325212464,-0.0185993363797881,-0.0562362292308183,-0.0125829427057098,-0.0792330072688553,-0.0650668978095621,-0.0155513465364995,0.00368129224598385,-0.0330240302766562,-0.0115199001388804,0.0130354634918051,-0.0703967754379457,-0.00719324892115591,-0.0714994045351536,-0.0463386804780972,-0.00785308944936847,-0.089258483477409,-0.0221528684786305,-0.0930299301087953,-0.0481070428992812,-0.0583143205708005,-0.0832832253739007,-0.0655687788933803,-148.625,65.375
"11",-0.0091758400693206,0.0283606474457395,-0.038621197711009,0.0948110666849534,0.0830984157622877,-0.0430239650767837,0.0125198885701385,-0.0271573798118376,0.022710974163875,-0.0401613455292944,-0.0189420025491828,0.00085437206618455,0.0892759645436576,0.0381490962149862,0.0166920459950476,-0.00211370099392955,0.0376741735681623,-0.038498196619053,0.0109387631314102,0.0491013341313215,0.0550817840478772,0.088027587142822,-0.029195700398578,0.0384383827706682,-0.0862713289397973,-0.031829934982793,0.00295367755156484,0.0543902890684163,-0.0135805954927354,-0.026699064066795,-0.0236821619633771,0.112672332782207,-0.0544299296264726,-0.0349840804225584,0.0499108491463458,0.0447018419507554,-0.0788284625543579,-0.00827799798960954,0.0416038988575771,-0.012939097613536,0.0409904667538213,0.00128655293238794,0.000641917102913503,0.0644758147219301,0.0294208726105539,0.0173869989225128,0.0531234876420261,-0.075548169861598,0.031028682689591,0.0181081107046092,-0.0268450998040834,-0.0448265085193261,-0.00553175973784331,0.0509990818892356,-0.0121674696168709,0.00277839904702104,-0.0786605683450041,0.0292702082515534,-0.0688556771595568,0.0329892516119819,-0.0482478609618956,-0.0798045183177309,-0.0552180469411052,0.0530837263804498,-0.0175269703248346,0.026032791429445,-0.031723957687417,0.022373470746891,0.0416769494049388,-0.0183552677650549,0.0376341702293385,-0.0326626971421994,-0.0364659182752425,-0.0429251796981402,-0.0709523067037346,0.0103530854007696,-0.0489119883828324,0.00597579574879703,-0.0304549933509959,0.0704800144978756,0.00276243435541151,-0.0659440192118901,-0.0667850220888204,0.0239776427495842,0.0165137689678949,0.00596762310935878,0.0300570706474131,0.0139334320290626,0.0213009271671601,-0.0213921769250152,0.0359359148326162,-0.0105084062226568,0.00381049516802434,-0.0857712433260013,0.0581158575456018,0.0341435062311327,-0.0486926262885155,-0.0372955070785692,-0.0661482200294782,-0.0194758758769351,-146.625,65.125
"13",-0.0671419747531602,-0.0864225562742307,-0.1655244102517,-0.0509214191402541,-0.0749032903004657,-0.0926301210905535,-0.0690126717752305,-0.136121596125559,-0.0374196856002219,-0.177819720991835,-0.113277885862885,-0.0568571231391505,-0.120720985145818,0.00583289311059154,-0.101454610260039,-0.113686169624435,-0.0843665238260412,-0.0432703714814922,-0.0582038614262624,-0.0913189410671241,-0.0476458338726201,-0.0728823567807603,-0.171987730952183,-0.073443278226518,-0.0689016034520056,-0.0896838342385837,-0.0921261243708067,-0.133580319071313,0.00804990953544171,-0.145310436768074,-0.123965242526287,-0.0861136217760556,-0.13666142628692,-0.0685667148155209,-0.0620962277461784,-0.125908452222279,-0.070182434738863,-0.130241260448904,-0.0099394283041061,-0.0494422654652887,-0.0892275581212473,-0.048760843716381,-0.0944887830746077,-0.0544849402334528,-0.0752610982108949,-0.0744210096838038,-0.126125454351278,-0.0927093682545591,-0.0593662314455469,-0.153695438708155,-0.0647420082602501,-0.0767997684571156,-0.118298411806562,-0.0369605687136065,-0.0506436450441671,-0.072571939408229,-0.131984691175129,-0.0696865908419457,-0.0803764703806467,-0.0539731398417385,-0.0602630790159902,-0.0234758355979255,-0.106475545602906,-0.101647704301908,-0.0531802961880123,-0.137102865054308,-0.115035242481344,-0.0878571727297665,-0.0851695363591963,-0.187236057259906,-0.0406385673560721,-0.0673774366848967,-0.079342740954475,-0.0667453978301012,-0.0769361547358579,-0.129938038324387,-0.0346173614613037,-0.114466853578491,-0.0755815281372352,-0.0560957451671731,-0.0597450015335571,-0.0879273123832295,-0.114699162856625,-0.0743368354414161,0.00569860080811924,-0.0409960026998356,-0.0840768790475068,-0.0741840975940284,-0.110357787680271,-0.0528104350601076,-0.0806596200989371,-0.12062897277418,-0.0678872092736662,-0.0873888985564396,-0.0835907432573753,-0.0740436891319407,-0.0541579706676878,-0.118413411995029,-0.0634027651044244,-0.119484990436041,-146.375,64.875
